¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
á(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.84946
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.17793
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.83335
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.84534
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.30907
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.85373
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.8314
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.81236
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.7966
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.78412
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.7749
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.76893
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.76622
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.76676
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.2848
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.501671
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.727281
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.976947
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.249774
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.543064
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.863755
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.216723
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.615729
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.040784
Œ(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.526795
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.04431
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.62318
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96169
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73329
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61348
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.62675
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.80552
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.19377
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.85243
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.86871
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.33665
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.86215
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.8398
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.82076
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.805
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.79251
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.78328
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.77732
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.7746
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.77513
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.290471
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.507766
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.734765
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.984647
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.258124
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.552753
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.874105
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.228062
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.626582
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.052772
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.535865
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.05443
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28664
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96937
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74204
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.62347
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.63829
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.81905
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.20979
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.87173
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.89236
(321.75, 7.29, 367.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.36489
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.87385
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.85149
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.83242
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.81666
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.80416
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.79493
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.78896
(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.78624
â(321.75, 7.29, 367.72) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 21.78677
