°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
∏(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 20.3643
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.011703
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.614661
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.19211
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.9194
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.65708
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.46301
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.83436
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.63908
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.82146
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.87794
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 20.09088
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 20.0626
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 20.0374
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 20.01523
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.99611
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.97999
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.770423
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.915841
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.071183
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.237471
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.415869
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.611179
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.82271
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.051754
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.442286
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.576843
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.877572
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.208249
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.573518
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.982455
√(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.463876
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.99222
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.591706
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15802
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.89555
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.61513
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.4517
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.84527
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.64007
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.73151
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.48724
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.82763
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.79998
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.77534
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.75372
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.73508
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.71942
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.765274
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.910349
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.065314
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.231185
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.409608
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.604811
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.81583
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.044297
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.292426
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.611257
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.86708
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.196693
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.560728
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.972049
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.44689
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.973008
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.561968
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.13666
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.87216
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.57421
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.4409
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.83054
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.64088
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.73899
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.4245
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.57409
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.54702
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.52293
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.50182
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.48365
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.46842
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.760211
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.90495
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.059544
ú(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.225007
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.403672
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.598551
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.809066
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.036967
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.284455
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.696708
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.856749
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.185317
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.548142
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.961761
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.430138
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.954066
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.532825
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11675
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.84923
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.53431
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.43061
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.80824
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.64149
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.74801
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.36384
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.32981
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.3033
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.27974
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.2591
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.24138
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.22656
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.755237
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.899645
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.053877
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.218939
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.39784
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.592399
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.80242
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.029765
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.276588
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.544976
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.882813
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.174124
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.535759
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.950542
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.41362
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.935395
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.504273
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.09725
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.82676
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.49541
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.42083
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.78656
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.64195
√(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.75854
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.30513
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.09437
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.0684
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.04534
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.02516
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.00787
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.99343
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.75035
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.894435
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.04831
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.212978
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.39222
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.586356
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.795891
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.022692
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.268703
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.536451
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.977224
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.163112
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.523579
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.936034
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.397338
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.916996
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.476305
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07813
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.80475
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.45751
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.41157
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.76551
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.64224
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.77064
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.24836
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.86739
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.84192
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.81934
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.79961
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.78271
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.76865
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.745552
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.889319
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.042845
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.207293
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.386711
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.580422
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.789481
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.015748
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.26103
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.528081
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.819993
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.182969
∆(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.511603
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.921735
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.381295
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.898868
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.44892
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.0594
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.78319
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.43504
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.41856
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.74507
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.64234
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.78423
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.18839
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.6485
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.62353
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.60139
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.58208
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.56557
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.55187
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.740842
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.884298
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.037481
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.202152
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.381303
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.574598
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.78319
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.008932
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.253497
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.519869
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.811005
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.287693
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.499833
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.907643
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.365485
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.881009
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.422111
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.04107
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.76051
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.42804
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.42826
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.72525
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.64226
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.79941
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.1166
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.43737
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.41286
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.39116
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.37225
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.35611
(328.97, 7.77, 368.87) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.34274
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.736219
õ(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.879371
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.032219
(328.97, 7.77, 368.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.197108
