¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
±(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.146
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.28491
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.38704
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.93707
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3935
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.77527
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.17892
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.6063
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11805
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.84777
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.47833
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.96484
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.79089
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.3811
¨(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.844246
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.096899
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.353737
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.705812
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.09179
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.404516
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.761628
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.2581
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.68726
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.22124
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.89833
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.65043
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.32888
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48384
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00383
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.52303
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.91158
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.32258
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.75796
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.429
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.18653
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.81877
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.62193
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.14781
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.853117
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.09327
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.349856
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.731033
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.09376
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.406631
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.806704
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.27468
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.70531
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.29505
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.96251
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.70248
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.37335
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.55292
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.07222
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.6324
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.05192
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.47058
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.03253
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.75307
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.54019
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.4485
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.69064
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.849839
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.089773
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.346118
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.755959
—(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.095928
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.408959
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.851782
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.29147
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.7236
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.35251
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.02717
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.74295
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.41834
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.16304
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.14229
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70795
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.19635
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.65654
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.34288
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.0915
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.98109
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.25578
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.846687
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.08641
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.34466
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.780578
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.098294
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.411503
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.896852
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.30848
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.74212
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.41037
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.09232
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.78388
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.46385
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.20733
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.21407
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.78539
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.345
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.95477
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.67969
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.47225
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.84146
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.47206
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.843659
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.08318
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.366514
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.804873
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.100859
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.414256
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.92576
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.3257
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8133
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.46863
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.16679
 (368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.82525
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.50986
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.25229
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.28754
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.86466
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.597
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.289
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.04403
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.162
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.6845
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.84076
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.080086
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.388068
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.811507
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.103621
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.4452
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.941816
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.34313
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.88983
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.52726
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.2462
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.86707
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.58022
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.29792
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.40474
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.06794
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.91777
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.63803
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.42517
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.21723
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.99981
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.837985
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.077127
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.409311
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.814269
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.10658
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.485258
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.958065
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.36078
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.95982
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.58629
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.28437
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.90934
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.63794
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.34423
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.6031
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.33354
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.25245
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.00277
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.34449
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.25958
™(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.50449
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.835335
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.074302
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.430235
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.817216
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.109739
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.525241
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.974508
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37864
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.01279
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.64568
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.32293
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.95205
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.68031
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.39122
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.80747
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.64786
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.60188
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.54368
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.02033
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.75686
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.01595
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.832811
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.07161
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.450829
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.820349
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.113096
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.565132
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.991143
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.42546
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.06605
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.7129
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.36189
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.99521
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.72327
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.43889
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.0511
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.97514
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.96697
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.10929
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.22851
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.27802
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.496
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.830415
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.069055
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.471087
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.823664
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.116651
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.604921
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.00797
(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.49417
›(368.00, 9.93, 323.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.1196
