¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
é(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.276198
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.995151
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.211366
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.444815
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.698737
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.974576
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.275238
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.598929
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.952101
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.343782
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.782192
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.299942
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.947996
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.57722
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.22518
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.95515
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.87746
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.94674
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.28524
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.06125
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.86141
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.27795
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.47671
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.795229
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.996132
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.212424
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.445959
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.699979
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.975926
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.276713
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.599931
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.953201
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.344986
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.783527
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.30745
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.955756
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58601
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.22771
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.95785
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.87938
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.94896
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.29222
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.08783
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.87776
î(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.31211
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.51977
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.796145
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.997118
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.213486
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.447103
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.70122
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.977276
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.278186
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.600954
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.954325
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.346195
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.784873
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.314754
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.963531
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.59482
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.23049
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.96057
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.88138
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.95122
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.29926
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.11444
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.89425
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.34555
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.56357
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.797067
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.998107
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.214553
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.448248
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.70246
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.978627
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.279637
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.601997
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.955472
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.347412
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.786223
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.321847
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.971319
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60365
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.23351
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.96331
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.88345
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.95353
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.30639
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.14107
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.91088
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.37824
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.6081
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.797989
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.999099
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.215622
ğ(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.44939
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.703701
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.979976
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.280612
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.603065
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.956645
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.348634
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.787582
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.328731
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.979115
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.61249
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.23678
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.96607
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.88558
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.95589
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.31357
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.16772
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.92763
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.41018
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.65335
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.798915
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.000095
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.216695
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.450536
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.704943
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.981326
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.281607
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.604153
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.957841
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.349862
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.788947
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.335401
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.986924
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.62134
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.24029
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.96885
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.88779
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.95829
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.32084
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.19439
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.94034
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.44135
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.69934
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.799842
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.001092
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.217771
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.451683
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.706181
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.982675
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.282619
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.605262
í(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.959059
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.351095
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.790317
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.341855
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.99474
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.63021
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.24406
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.97165
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.89007
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.96075
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.32816
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.22108
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.95149
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.47174
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.74606
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.800774
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.002094
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.218852
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.452851
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.70742
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.984023
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.283654
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.606393
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.960302
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.352335
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.791695
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.348094
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.00256
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.63485
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.24807
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.97447
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.89242
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.9639
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.33556
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.24379
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.96302
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.50134
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.79352
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.801708
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.003099
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.219934
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.454021
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.708657
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.98537
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.284708
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.607546
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.961569
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.353579
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.793077
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.354114
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.01039
ê(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.63865
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.25232
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.9773
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.89483
(336.80, 7.57, 345.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.96904
