¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ß(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.15282
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.071981
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.298903
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.544476
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.81101
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.101257
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.416064
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.755441
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.136974
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.559289
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.029285
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.42146
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.734684
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16674
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64649
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22908
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.10869
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.08051
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.0563
î(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.04042
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.03166
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.0275
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.07112
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.96506
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.9986
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.04584
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.04097
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.03774
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.26401
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.2768
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.32058
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.849714
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.059056
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.284972
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.529338
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.794573
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.083315
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.396805
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.737342
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.116951
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.537131
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.004541
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.400834
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.74088
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17893
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6599
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30882
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.22087
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.04232
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.02098
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.00514
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.99347
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.11778
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.90597
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.91474
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.12776
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.99534
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.99049
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.98728
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.98571
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.64543
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.69468
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.837761
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.046212
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.271044
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.514273
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.778166
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.065444
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.377641
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.719272
å(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.097042
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.515006
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.979873
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.38087
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.752406
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19155
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67374
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38753
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05306
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6407
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.88569
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.86887
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.85373
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.93355
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.06023
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.19157
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.74445
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.94692
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.94209
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.93889
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.93733
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.20039
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.20214
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.82585
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.033362
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.257175
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.499246
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.761838
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.047641
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.359775
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.701278
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.077181
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.49297
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.955277
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.361837
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.764334
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2046
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68813
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42098
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94529
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52198
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.17401
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.18947
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.2239
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.28738
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.67671
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.70384
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.69469
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.90055
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.89574
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.89841
Ó(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.91441
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.40123
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.42144
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.813953
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.020557
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.243356
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.484251
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.745554
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.029871
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.337268
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.67827
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.053803
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.469254
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.930802
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.373162
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.776697
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21815
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70302
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.325
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8401
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40623
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0485
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.06854
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.0728
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.67971
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.6304
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.63461
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.64709
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.27431
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.28814
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.30369
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.32097
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.69459
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.69656
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.802096
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.007794
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.22956
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.469313
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.729341
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.012214
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.314843
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.653664
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.026629
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.439145
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.897749
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.355771
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.765981
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21545
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70991
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23124
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73747
æ(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29341
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.6564
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.64049
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.62621
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.61356
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.60252
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.59307
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.7577
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.31323
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.51541
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.64673
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.64492
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.645
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.64697
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.790274
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.995041
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.215804
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.454453
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.713189
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.994605
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.293053
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.629183
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.999609
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.4092
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.864368
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.327105
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.734682
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18107
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67207
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22587
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71754
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25618
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.61652
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.60068
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.58645
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.57385
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.56284
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.55344
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.71246
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.10918
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.23152
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.22797
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.60392
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.62685
(397.03, 14.16, 246.46) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.65174
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.371378
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.982347
(397.03, 14.16, 246.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.202114
