¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Í(332.08, 7.24, 374.33) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 15.36636
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36642
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.34085
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.20829
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.18672
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.16718
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.2593
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.37849
(332.08, 7.24, 374.33) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 17.97422
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 17.31466
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 17.83438
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 18.01479
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 17.93172
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 17.38441
(332.08, 7.24, 374.33) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 20.79223
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.973567
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.183962
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.410709
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.65575
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.921339
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.210129
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.525239
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.87038
ñ(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.24999
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.669438
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.135256
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.655498
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.24019
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.902
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.65712
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37821
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.35902
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.22568
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.20408
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.18452
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.27686
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.39698
(332.08, 7.24, 374.33) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.30703
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 17.7242
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 18.43337
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 18.6876
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 18.64129
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 18.07471
(332.08, 7.24, 374.33) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 21.28238
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.975949
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.186525
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.413476
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.658743
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.924591
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.213671
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.529111
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.874628
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.254674
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.674625
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.141032
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.661969
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.24749
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.91029
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.66662
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38993
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.37949
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.2451
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.22347
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.20388
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.2963
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.41707
(332.08, 7.24, 374.33) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 16.68934
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 16.67376
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 19.0766
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 19.41562
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 19.39871
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 16.64428
(332.08, 7.24, 374.33) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 21.79948
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.978323
Ü(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.189081
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.416233
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.661729
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.927832
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.217199
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.532969
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.878863
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.259343
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.679798
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.146791
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.668421
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.25477
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.91856
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.6761
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40164
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.40228
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.26656
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.24489
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.22527
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.31766
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.43878
(332.08, 7.24, 374.33) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 17.52569
(332.08, 7.24, 374.33) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 15.9355
(332.08, 7.24, 374.33) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 16.14173
(332.08, 7.24, 374.33) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 16.12498
(332.08, 7.24, 374.33) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 15.90285
(332.08, 7.24, 374.33) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 17.19021
(332.08, 7.24, 374.33) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 22.34573
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.980689
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.191627
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.418983
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.664703
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.931061
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.220719
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.536815
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.883086
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.263998
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.684954
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.152536
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.674857
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.26203
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.92681
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47997
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41335
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.42742
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.29007
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.26837
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.24871
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.34093
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.46211
(332.08, 7.24, 374.33) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 15.89405
Ó(332.08, 7.24, 374.33) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 16.3558
(332.08, 7.24, 374.33) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 16.78955
(332.08, 7.24, 374.33) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 16.8117
(332.08, 7.24, 374.33) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 16.56228
(332.08, 7.24, 374.33) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 15.83983
(332.08, 7.24, 374.33) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 22.92352
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.983047
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.194166
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.421722
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.667668
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.93428
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.224226
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.54065
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.887295
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.268639
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.690097
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.158263
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.681274
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.26927
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.93504
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42499
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.45492
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.31566
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.29391
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.27422
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.36614
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.48709
(332.08, 7.24, 374.33) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 15.88886
(332.08, 7.24, 374.33) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 16.96296
(332.08, 7.24, 374.33) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 17.43047
(332.08, 7.24, 374.33) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 17.56227
(332.08, 7.24, 374.33) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 17.38725
(332.08, 7.24, 374.33) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 16.30687
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.985395
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.196694
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.424451
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.670623
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.937488
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.227721
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.544472
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.89149
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.273264
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.695221
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.163971
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.687671
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.27648
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.94324
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50002
(332.08, 7.24, 374.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43664
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.4848
æ(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.34334
(332.08, 7.24, 374.33) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 13.32155
