¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ï(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.485718
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.517082
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.504538
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.493442
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.483783
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.475558
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.46876
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.463384
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.459425
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.67401
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.67473
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.67838
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.67466
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.6842
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.758861
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.014248
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.29082
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.591228
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.918776
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.278695
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.692139
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.150402
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.661234
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.688197
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.662074
ƒ (378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.637525
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.614531
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.593074
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.573139
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.554711
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.537774
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.522315
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.508325
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.49579
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.484701
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.475052
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.466832
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.460039
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.454666
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.450707
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.73765
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.7384
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.74209
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.73838
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.74797
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.764188
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.020038
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.29709
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.598081
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.926229
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.289796
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.704367
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.164043
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.676491
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.680744
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.654639
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.630107
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.607129
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.585688
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.565767
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.547351
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.530425
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.514977
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.500996
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.488468
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.477388
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.467744
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.459531
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.452741
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.44737
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.443414
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.80468
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.80545
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.80918
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.80548
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.81513
ò(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.769497
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.025717
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.30329
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.604829
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.933605
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.300717
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.716455
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.177498
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.690395
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.67474
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.648648
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.62413
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.601166
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.579738
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.559828
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.541422
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.524506
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.509066
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.495092
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.482572
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.471497
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.461857
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.453649
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.446861
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.441493
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.437538
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.87514
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.87594
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.8797
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.87601
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.88572
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.774716
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.03139
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.309406
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.611484
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.940866
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.311499
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.728416
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.190773
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.701319
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.670179
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.6441
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.619592
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.596638
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.575217
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.555317
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.53692
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.520011
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.504577
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.490609
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.478095
ñ(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.467022
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.457388
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.449181
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.442396
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.43703
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.433075
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.94909
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.94991
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.95372
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.95004
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.95981
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.779856
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.036949
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.315448
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.618073
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.948055
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.322165
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.740173
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.203864
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.712085
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.66706
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.640988
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.616488
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.59354
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.572128
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.552232
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.533839
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.516935
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.501507
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.487542
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.475031
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.463963
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.454329
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.446125
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.439342
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.433977
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.430023
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.02658
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.02744
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.03128
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.02762
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.03745
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.784901
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.042434
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.321391
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.624551
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.955154
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.332624
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.751797
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.216777
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.72276
€ (378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.66538
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.639313
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.614815
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.591872
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.570462
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.55057
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.532181
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.515279
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.499852
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.485889
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.47338
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.462315
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.452682
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.444479
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.437697
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.432332
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.428379
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.10769
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.10858
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.11247
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.10882
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.11873
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.789925
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.047843
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.327266
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.63097
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.962311
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.34296
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.763225
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.229479
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.733283
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.665137
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.639071
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.614573
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.591631
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.570222
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.55033
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.53194
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.515039
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.499613
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.48565
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.473143
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.462075
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.452444
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.444242
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.43746
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.432095
(378.35, 16.03, 294.87) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.428143
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.19249
(378.35, 16.03, 294.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.19341
