¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.132934
¤(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.32394
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.28888
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.47812
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.03205
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.72665
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.70312
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.682
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.69362
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.78164
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.13401
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.49185
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.48022
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.197006
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.40244
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.62298
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.860304
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.116376
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.393464
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.686558
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.00466
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.347864
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.719002
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.126087
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.574591
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06064
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59347
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1877
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8404
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5706
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39889
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34636
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.17905
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.07665
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.19162
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.80698
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.50453
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.70162
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.78097
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.79955
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.88879
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.22732
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.61005
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.55567
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.194271
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.399521
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.619843
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.856915
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.112728
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.388416
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.680685
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.998262
¤(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.343714
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.714439
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.12109
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.569055
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05186
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58373
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1768
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83373
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56306
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38826
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.30029
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.99585
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.87106
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.91496
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.59865
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.22885
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.20653
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.18655
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.16887
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.51857
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.50861
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.50144
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.67728
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.191588
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.396627
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.616741
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.853595
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.109137
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.383053
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.674888
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.991929
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.337618
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.710032
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.116238
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.563713
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04336
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57427
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16625
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8274
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55074
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34677
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2529
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86491
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.67177
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 14.87195
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 14.84585
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 14.82206
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 14.80055
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 14.88409
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 14.86698
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.00626
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.49657
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.40399
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 16.50125
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.188956
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.393809
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.613707
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.850316
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.105607
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.37781
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.669191
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.985744
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.330847
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.705743
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.11154
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.557034
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03505
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56508
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15595
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82131
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51481
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30606
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18406
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.78218
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 14.86701
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 14.58289
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 14.5575
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 14.53437
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 14.51347
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 14.59559
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 14.579
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.21645
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.20372
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.47923
(336.48, 7.68, 345.18) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 15.47442
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.186349
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.391007
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.610722
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.847098
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.102112
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.37264
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.663562
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.97965
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.324209
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.701208
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.107014
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.549822
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02704
(336.48, 7.68, 345.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55614
