¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ü(399.26, 14.03, 248.07) (388.83, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 10.49038
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.09632
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.471267
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.463809
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.457625
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.452711
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.449064
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.446679
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.445558
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.445696
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.447094
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.202531
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.397647
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.593156
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.802042
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.025689
“ (398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.265666
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.299348
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.274031
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.249967
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.227135
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.20552
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.185102
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.165867
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.147798
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.130883
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.115107
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.100457
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.086923
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.074495
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.063163
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.171215
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.091289
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.569571
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.562029
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.555777
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.550809
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.547121
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.544712
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.543579
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.543722
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.545139
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.198883
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.400468
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.595386
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.803572
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.026417
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.265455
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.207598
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.182607
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.158855
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.136319
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.114984
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.094832
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.075847
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.058013
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.041318
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.025748
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.011292
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.997937
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.985672
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.97449
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.167294
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.086292
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.671493
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.663863
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.657539
‰ (398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.652516
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.648787
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.646352
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.645208
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.645353
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.646791
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.194179
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.403838
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.599628
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.808105
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.031289
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.145099
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.119179
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.094504
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.07105
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.0488
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.027734
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.007838
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.989093
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.971487
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.955005
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.939634
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.925361
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.912176
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.900071
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.889033
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.163403
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.081334
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.777191
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.769472
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.763075
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.757992
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.754221
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.75176
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.750605
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.750756
(398.96, 14.03, 247.96) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.752214
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.189179
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.398444
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.604043
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.812832
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.036298
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.112955
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.088053
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.064374
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.0419
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.020615
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.000498
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.981535
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.963712
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.947014
 (398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.931428
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.916941
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.903543
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.891224
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.879973
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.869783
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.159541
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.076414
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.731894
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.723205
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.715829
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.709766
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.705009
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.701556
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.699404
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.69855
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.698996
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.184219
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.393099
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.608571
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.817673
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.041508
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.281678
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.178764
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.154785
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.132027
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.110471
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.0901
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.070897
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.052848
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.035938
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.020156
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.005487
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.991921
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.979446
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.968054
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 6.957736
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.15571
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.071531
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.630008
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.621427
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.614145
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.608163
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.603471
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.600068
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.597947
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.597114
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.597563
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.179265
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.387803
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.611963
 (398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.822672
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.046887
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.287415
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.272925
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.248634
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.225581
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.203745
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.183109
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.163658
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.145375
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.128246
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.11226
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.097402
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.083659
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.071025
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.059485
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.049036
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.151907
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.066688
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.53173
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.523255
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.516068
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.510159
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.505529
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.502172
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.500087
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.49927
(398.96, 14.03, 247.96) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.499722
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.174346
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.382552
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.606251
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.827829
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.052399
(398.96, 14.03, 247.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.29336
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.370706
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.346093
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.322732
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.300605
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.279695
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.259985
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.241459
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.224103
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.207904
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.192849
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.178925
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.166122
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.154431
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.143844
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.148135
(398.96, 14.03, 247.96) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.061884
