°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
®(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95859
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.25265
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.72958
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.55783
√(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.71259
(337.68, 7.64, 327.86) (329.72, 1.33, 364.18) (0.81, 2.16, 0.81) Human 20.98378
(337.68, 7.64, 327.86) (329.72, 1.33, 364.18) (0.81, 2.16, 0.81) Human 20.92123
(337.68, 7.64, 327.86) (329.72, 1.33, 364.18) (0.81, 2.16, 0.81) Human 20.90255
(337.68, 7.64, 327.86) (329.72, 1.33, 364.18) (0.81, 2.16, 0.81) Human 20.88701
(337.68, 7.64, 327.86) (329.72, 1.33, 364.18) (0.81, 2.16, 0.81) Human 20.8746
(337.68, 7.64, 327.86) (329.72, 1.33, 364.18) (0.81, 2.16, 0.81) Human 20.8654
(337.68, 7.64, 327.86) (329.72, 1.33, 364.18) (0.81, 2.16, 0.81) Human 20.85958
(337.68, 7.64, 327.86) (329.72, 1.33, 364.18) (0.81, 2.16, 0.81) Human 20.96614
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.661097
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.85322
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.059776
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.282417
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.52318
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.784426
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.063698
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.365452
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.695339
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.057421
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.456583
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.901567
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.400944
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.961256
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.59427
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.32809
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.17217
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.14522
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.2761
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.74894
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.57217
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.7528
(337.68, 7.64, 327.86) (329.72, 1.33, 364.18) (0.81, 2.16, 0.81) Human 20.9992
(337.68, 7.64, 327.86) (329.72, 1.33, 364.18) (0.81, 2.16, 0.81) Human 20.93359
(337.68, 7.64, 327.86) (329.72, 1.33, 364.18) (0.81, 2.16, 0.81) Human 20.91272
(337.68, 7.64, 327.86) (329.72, 1.33, 364.18) (0.81, 2.16, 0.81) Human 20.89503
(337.68, 7.64, 327.86) (329.72, 1.33, 364.18) (0.81, 2.16, 0.81) Human 20.88049
(337.68, 7.64, 327.86) (329.72, 1.33, 364.18) (0.81, 2.16, 0.81) Human 20.86917
(337.68, 7.64, 327.86) (329.72, 1.33, 364.18) (0.81, 2.16, 0.81) Human 20.8614
(337.68, 7.64, 327.86) (329.72, 1.33, 364.18) (0.81, 2.16, 0.81) Human 20.96864
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.66348
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.85578
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.062531
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.285391
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.526461
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.787988
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.067184
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.369257
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.699505
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.062003
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.461644
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.907775
á(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.407887
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.969069
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60346
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.34015
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.18613
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.15884
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.2922
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.66768
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.58662
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.79333
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.60833
(337.68, 7.64, 327.86) (329.72, 1.33, 364.18) (0.81, 2.16, 0.81) Human 21.22005
(337.68, 7.64, 327.86) (329.72, 1.33, 364.18) (0.81, 2.16, 0.81) Human 21.18542
(337.68, 7.64, 327.86) (329.72, 1.33, 364.18) (0.81, 2.16, 0.81) Human 21.15877
(337.68, 7.64, 327.86) (329.72, 1.33, 364.18) (0.81, 2.16, 0.81) Human 21.13926
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.665885
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.858362
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.06531
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.28839
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.52977
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.79158
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.070724
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.37312
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.703736
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.066656
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.466981
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.91406
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.414912
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.976979
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.6143
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.35233
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.20022
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.17265
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.3085
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.69135
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.37887
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.83422
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.64747
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.66831
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.860964
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.068113
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.291415
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.533103
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.7952
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.074322
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.377043
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.708032
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.071382
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.47261
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.920418
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.422026
Ó(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.984986
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.62523
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.36461
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.21444
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.18662
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.32502
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.71523
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.40437
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.50209
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.68725
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.670753
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.863587
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.070937
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.294482
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.536461
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.798847
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.07797
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.381024
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.712393
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.076179
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.478312
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.92685
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.429221
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.993086
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.63623
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.377
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.22877
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.20077
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.34175
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.73933
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.43012
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.53576
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.26268
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.673215
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.866233
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.073784
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.297608
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.539847
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.802521
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.081673
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.385064
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.716819
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.081045
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.484085
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.933357
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.4365
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.00128
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.64732
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38949
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.24324
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.21509
Ï(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.35868
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.76366
(337.68, 7.64, 327.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.45614
