¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ª(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.538774
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.535204
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.522623
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.51121
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.500956
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.49184
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.483855
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.477019
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.475157
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.49509
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.543709
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.641761
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.4509
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.45042
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.257088
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.489299
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.740452
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.012919
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.309478
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.633824
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.919272
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.763065
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.69367
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.659191
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.636862
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.615813
¿(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.596011
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.577428
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.560067
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.543918
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.528954
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.51515
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.502532
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.49108
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.480762
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.471597
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.463557
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.456657
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.454732
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.4735
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.518626
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.605622
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.39708
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.39661
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.258393
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.490708
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.741979
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.014577
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.311288
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.635397
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.929238
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.767199
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.696969
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.662181
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.639786
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.618638
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.598747
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.580085
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.562643
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.546411
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.531342
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.517482
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.504787
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.493245
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.482867
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.473607
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.465509
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.458526
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.456571
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.475448
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.520866
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.608721
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.34661
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.34614
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.259645
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.492059
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.743444
¾(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.016171
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.313024
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.637299
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.466791
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.805464
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.726251
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.688546
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.665978
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.644676
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.624623
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.605808
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.588225
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.571846
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.556646
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.542649
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.529833
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.518165
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.507657
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.498309
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.490091
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.482999
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.481036
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.501375
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.551104
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.653095
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.29941
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.29894
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.260844
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.493356
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.744848
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.017696
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.314689
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.120295
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.468098
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.904973
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.791026
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.744679
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.721626
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.70003
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.67971
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.660639
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.642799
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.626181
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.610745
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.59653
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.583478
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.57162
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.560915
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.551368
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.542978
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.535737
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.53386
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.558207
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.620996
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.25894
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.25545
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.25498
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.26199
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.494594
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.74619
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.019154
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.316278
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.121482
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.469391
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.849821
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.951568
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.857778
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.830577
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.80834
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.787428
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.767789
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.749396
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.732216
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.7163
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.701579
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.688068
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.675748
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.664637
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.654686
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.645858
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.638247
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.636847
(332.28, 7.38, 364.64) (337.69, 1.16, 384.09) (0.81, 2.16, 0.81) Human 7.676326
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.22468
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.21817
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.21468
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.21421
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.263083
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.495775
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.747469
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.020545
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.317796
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.122699
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.470722
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.851267
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.269048
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.729758
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24031
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80909
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44657
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16586
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81844
‘(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54991
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.35661
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96488
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.62943
(332.28, 7.38, 364.64) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 17.7299
(332.28, 7.38, 364.64) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 17.71481
(332.28, 7.38, 364.64) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 17.80369
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.24332
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.2247
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.20912
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.19658
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.18706
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.18057
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.17709
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.17662
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.264123
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.496899
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.748688
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.021869
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.31924
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.12391
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.472041
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.85272
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.270632
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.73154
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24224
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81125
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44899
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16862
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81874
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55637
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34025
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.94707
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.60998
(332.28, 7.38, 364.64) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 17.73341
(332.28, 7.38, 364.64) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 17.71874
(332.28, 7.38, 364.64) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 17.80767
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.20878
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.19019
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.17464
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.16212
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.15262
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.14614
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.14267
(332.28, 7.38, 364.64) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 20.1422
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.265131
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.497965
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.749842
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.023126
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.320609
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.125125
š(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.473371
(332.28, 7.38, 364.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.854148
