¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ÿ(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.193966
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.15035
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.51528
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.152386
¤(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.437332
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.751009
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.097937
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.168271
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.547625
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.965322
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.427409
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.941284
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51607
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16317
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89701
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73617
(335.92, 6.99, 316.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 13.46191
(335.92, 6.99, 316.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 13.43553
(335.92, 6.99, 316.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 13.34896
(335.92, 6.99, 316.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 13.15796
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 14.44566
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 14.84442
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.15471
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.01832
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.00587
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.02164
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.14373
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.50307
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.131421
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.414284
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.725558
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.069695
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.163183
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.542011
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.959124
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.420564
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.933624
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50747
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15345
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88595
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72347
(335.92, 6.99, 316.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 13.39174
(335.92, 6.99, 316.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 13.36548
(335.92, 6.99, 316.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 13.27303
(335.92, 6.99, 316.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 13.13174
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 14.34035
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.58851
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.15389
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.01566
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.00321
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.01725
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.13926
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.49283
(335.92, 6.99, 316.32) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 24.29154
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.110348
¤(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.391124
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.699995
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.812881
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.157935
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.536276
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.952759
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.413494
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.925774
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49867
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1435
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87463
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71043
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59337
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 14.07134
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 14.04532
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 14.1236
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 14.23843
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.60014
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.15552
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.01524
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.00279
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.01497
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.13694
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.48453
(335.92, 6.99, 316.32) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.90198
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.089173
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.367862
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.674327
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.807958
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.15261
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.530372
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.946266
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.40628
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.917708
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43166
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13331
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.863
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69711
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55171
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 13.96693
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 13.94108
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 14.02674
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 14.13981
(335.92, 6.99, 316.32) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 16.90512
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.15962
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.01705
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.0046
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.01479
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.13676
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.47818
(335.92, 6.99, 316.32) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.52743
 (335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.067905
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.344505
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.648564
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.802563
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.093042
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.407282
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.748283
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.119537
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.525164
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.970122
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12286
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85117
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68348
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5122
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 13.86611
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 13.84042
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 13.933
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 14.05149
(335.92, 6.99, 316.32) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 16.70633
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.16618
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.0211
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.00865
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.01673
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.13873
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.47378
(335.92, 6.99, 316.32) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.16716
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.046549
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.32106
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.622715
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.711919
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.837545
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.108776
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.424427
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.767027
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.14011
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.547768
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.995128
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83901
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66955
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47296
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 13.76876
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 13.74323
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 13.84232
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 13.97392
(335.92, 6.99, 316.32) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 17.16185
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.17521
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.02739
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.01493
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.02078
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.14285
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.47131
Ÿ(335.92, 6.99, 316.32) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 22.82042
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.025114
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.297535
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.596787
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.635857
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.758711
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.886792
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.123823
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.440876
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.785074
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.159908
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.569658
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01937
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65526
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.434
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 13.6748
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 13.65008
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 13.75461
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 13.89853
(335.92, 6.99, 316.32) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 16.99339
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.18671
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.03592
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.02346
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.02694
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.14912
(335.92, 6.99, 316.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 15.47078
(335.92, 6.99, 316.32) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 22.48656
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.003603
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.273936
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.57079
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.561871
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.682048
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.807289
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.937871
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.138286
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.456731
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.802505
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.179165
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.591001
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62101
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39531
(335.92, 6.99, 316.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27312
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 14.74771
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 13.67822
(335.92, 6.99, 316.32) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 13.82525
(335.92, 6.99, 316.32) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 17.93222
(335.92, 6.99, 316.32) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 16.93661
(335.92, 6.99, 316.32) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.14114
(335.92, 6.99, 316.32) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 17.19762
