¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.394599
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.06173
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.10192
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.01959
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.940052
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.863231
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.789041
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.717396
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.64822
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.580132
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.433377
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.579442
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.655754
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.878098
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.180227
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.507773
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.864024
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.747744
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.964318
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.915599
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.872925
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.836691
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.80768
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.587141
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.559389
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.533216
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.508604
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.485529
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.954471
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.93338
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.913857
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.895885
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.879449
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.864538
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.851141
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.839245
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.958171
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.882621
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.809663
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.739214
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.669593
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.490511
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.636663
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.713885
ó(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.884973
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.187674
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.515863
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.872843
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.757065
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.986526
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.936218
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.891512
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.854629
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.826249
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.612164
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.584339
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.558095
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.533412
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.510274
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.980434
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.959284
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.939707
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.921684
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.905201
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.890247
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.876811
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.864882
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.854449
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.845508
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.905226
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.833447
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.762227
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.549772
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.696031
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.774204
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.891761
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.195023
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.523848
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.881544
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.270943
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.01249
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.961464
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.91703
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.875526
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.850177
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.638769
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.610861
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.584539
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.559785
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.536577
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.00803
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.986823
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.967186
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.852635
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.932577
ì(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.917577
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.904099
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.892135
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.881668
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.872698
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.865213
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.899961
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.858157
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.611217
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.757607
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.836773
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.898454
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.202272
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.531724
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.89013
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.280378
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.04658
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.995328
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.949974
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.912274
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.882819
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.66697
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.638976
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.612573
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.587742
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.564463
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.03729
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.01602
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.996317
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.588467
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.961597
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.946549
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.933028
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.921022
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.910522
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.90152
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.894011
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.887989
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.883447
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.674915
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.82145
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.901648
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.905053
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.209421
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.539491
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.907344
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.289721
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.08247
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.03479
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.990285
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.95186
… (379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.920918
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.696794
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.668707
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.642219
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.617306
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.593951
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.06823
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.04689
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.02712
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.618011
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.992286
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.977187
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.963621
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.951573
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.941036
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.932002
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.924464
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.918419
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.913857
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.740923
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.909184
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.968902
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.911555
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.216465
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.547145
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.915812
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.29897
(379.82, 15.71, 278.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22696
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.07919
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.03444
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.998074
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.965411
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.728262
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.700079
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.6735
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.648501
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.625065
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.10088
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.07946
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.05963
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.649183
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.02467
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.00951
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.995899
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.891856
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.973231
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.964163
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.956597
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.950526
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.945947
(379.82, 15.71, 278.38) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.809313
