¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ù(337.93, 7.17, 372.29) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 10.80556
(337.93, 7.17, 372.29) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 11.31749
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 9.552425
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 9.542512
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 9.53404
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 9.527004
(337.93, 7.17, 372.29) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 11.00706
(337.93, 7.17, 372.29) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 11.58295
(337.93, 7.17, 372.29) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 12.22436
(337.93, 7.17, 372.29) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 14.57965
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.393781
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.617376
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.858227
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.118418
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.233415
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.112459
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.996512
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.949526
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.927295
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.906232
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.886322
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.903718
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.943892
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.985586
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.028839
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.171684
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.351233
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4891
(337.93, 7.17, 372.29) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 9.296361
(337.93, 7.17, 372.29) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 9.951098
Ø(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 9.548382
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 9.918761
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 10.12992
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 10.11944
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 10.11048
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 9.506059
(337.93, 7.17, 372.29) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 12.4826
(337.93, 7.17, 372.29) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 13.23107
(337.93, 7.17, 372.29) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 15.55153
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.394091
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.617737
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.858615
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.118807
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.270421
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.148367
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.031381
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.976803
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.954486
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.93334
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.913353
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.92705
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.967558
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.009596
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.053204
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.190271
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.370801
(337.93, 7.17, 372.29) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 9.298055
(337.93, 7.17, 372.29) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 9.456372
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 9.65254
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 10.09974
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 10.59206
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 11.13657
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 11.20989
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 11.19981
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 10.50749
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 9.488013
(337.93, 7.17, 372.29) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 14.4206
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.394432
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.618049
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.858988
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.11919
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.309242
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.186034
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.06795
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.005345
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.982936
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.961705
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.941636
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.951431
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.99229
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.034689
Ú(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.078668
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.209652
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.391209
(337.93, 7.17, 372.29) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 9.462285
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 9.548964
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 9.943272
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 10.79883
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 11.36456
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 11.99473
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.56583
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.55433
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.33439
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 10.93372
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.394722
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.618397
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.85935
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.119573
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.401483
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.225502
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.106263
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.035177
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.012672
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.991351
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.971196
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.97688
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.018106
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.060884
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.105251
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.229837
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.412467
(337.93, 7.17, 372.29) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 10.06704
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 9.537906
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 10.21611
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 11.15566
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.25978
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.99751
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.83191
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 14.28397
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 14.27272
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.92992
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 9.461881
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.395019
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.618731
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.859673
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.119955
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.401932
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.266817
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.146364
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.066321
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.043717
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.022303
×(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.002059
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.003413
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.045024
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.088199
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.132976
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.250837
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.434586
(337.93, 7.17, 372.29) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 10.75516
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 9.528294
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 10.50465
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 11.50109
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.70848
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 14.18463
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 15.18561
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 15.82169
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 9.452343
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.395353
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.619047
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.860017
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.120337
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.402336
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.31003
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.188302
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.098807
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.0761
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.054586
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.034251
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.031051
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.073066
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.116654
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.161857
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.272658
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.457577
(337.93, 7.17, 372.29) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 12.7176
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 9.520119
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 10.19833
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 11.70553
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.15969
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 14.7679
(337.93, 7.17, 372.29) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 17.94502
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 9.845749
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.395638
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.619375
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.860408
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.120692
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.402726
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.355195
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.232127
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.132662
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.109847
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.088232
Ò(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.0678
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.059812
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.102248
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.14627
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.19192
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.295318
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.48145
(337.93, 7.17, 372.29) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 9.013328
(337.93, 7.17, 372.29) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 10.4099
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 9.792535
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 11.17336
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 13.00979
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 15.38187
(337.93, 7.17, 372.29) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 17.95808
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 9.440282
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 10.98157
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.395905
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.61969
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.860734
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.121077
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.403158
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.402367
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.277891
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.167917
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.144989
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.123268
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.102736
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.089716
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.132592
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.177065
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.223184
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.318819
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.506218
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41191
(337.93, 7.17, 372.29) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 9.339203
(337.93, 7.17, 372.29) (348.27, 0.49, 347.29) (1.16, 1.16, 6.53) Tools 10.44729
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 9.493285
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.35456
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 14.64102
(337.93, 7.17, 372.29) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 17.97338
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 9.43915
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 9.907134
(337.93, 7.17, 372.29) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 12.41454
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.396209
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.619991
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.861053
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.121464
(337.93, 7.17, 372.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.403519
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.451606
(337.93, 7.17, 372.29) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.325652
