¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
š(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.262546
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.428447
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.669558
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.930569
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.213206
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.5123
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.83857
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.195699
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.588287
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.64403
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.64087
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.74729
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.65948
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.192195
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.414598
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.654629
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.914382
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.196308
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.49688
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.821699
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.177207
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.567914
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.5531
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.53999
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.63504
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.53155
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.99923
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.179414
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.400847
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.639747
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.898216
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.178791
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.481538
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.804926
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.158801
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.547678
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.46307
¸(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.44023
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.52516
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.41217
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.86421
(374.62, 14.66, 296.45) (389.59, 6.05, 332.59) (0.81, 2.16, 0.81) Human 24.98721
(374.62, 14.66, 296.45) (389.59, 6.05, 332.59) (0.81, 2.16, 0.81) Human 24.93114
(374.62, 14.66, 296.45) (389.59, 6.05, 332.59) (0.81, 2.16, 0.81) Human 24.87983
(374.62, 14.66, 296.45) (389.59, 6.05, 332.59) (0.81, 2.16, 0.81) Human 24.83324
(374.62, 14.66, 296.45) (389.59, 6.05, 332.59) (0.81, 2.16, 0.81) Human 24.79283
(374.62, 14.66, 296.45) (389.59, 6.05, 332.59) (0.81, 2.16, 0.81) Human 24.95711
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.166666
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.387067
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.624869
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.882146
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.161266
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.465215
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.788212
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.1405
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.527515
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.37386
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.34243
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.42202
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.29407
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.73068
(374.62, 14.66, 296.45) (389.59, 6.05, 332.59) (0.81, 2.16, 0.81) Human 24.97584
(374.62, 14.66, 296.45) (389.59, 6.05, 332.59) (0.81, 2.16, 0.81) Human 24.89486
(374.62, 14.66, 296.45) (389.59, 6.05, 332.59) (0.81, 2.16, 0.81) Human 24.85089
(374.62, 14.66, 296.45) (389.59, 6.05, 332.59) (0.81, 2.16, 0.81) Human 24.8112
(374.62, 14.66, 296.45) (389.59, 6.05, 332.59) (0.81, 2.16, 0.81) Human 24.77572
(374.62, 14.66, 296.45) (389.59, 6.05, 332.59) (0.81, 2.16, 0.81) Human 24.74536
(374.62, 14.66, 296.45) (389.59, 6.05, 332.59) (0.81, 2.16, 0.81) Human 24.87677
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.153941
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.373371
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.610082
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.866082
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.143841
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.446169
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.771575
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.122267
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.507409
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.28626
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.24699
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.32145
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.52246
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.5987
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.141269
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.359692
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.595282
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.850106
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.126454
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.427224
“(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.755042
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.104124
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.487446
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.910233
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.15544
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.22196
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.41064
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.46823
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.128578
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.346091
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.580558
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.834143
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.109143
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.40835
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.735044
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.086059
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.467549
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.888248
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.06691
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.12125
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.30145
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.33929
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.115974
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.332459
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.5659
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.818257
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.091891
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.389528
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.714466
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.068063
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.447777
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.866405
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.97834
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.02014
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.19349
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.2118
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.103377
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.318919
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.551268
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.802429
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.074695
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.370811
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.693984
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.048038
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.428112
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.84464
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.88767
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.92462
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.08676
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.0968
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.090858
—(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.305426
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.536689
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.786659
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.057557
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.352157
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.673573
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.025669
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.408544
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.823032
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.79802
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.83015
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.98231
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.29359
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.078354
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.291975
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.522183
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.770924
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.040505
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.333565
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.653261
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.003376
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.388357
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.801557
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.71224
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.73712
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.88535
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.18502
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.065868
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.278568
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.507741
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.75529
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.023522
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.315079
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.633055
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.981177
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.363915
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.780187
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.62897
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.64588
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.78989
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.07534
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.053487
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.265208
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.493332
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.73972
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.006629
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.296649
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.612937
(374.62, 14.66, 296.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.959164
