¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
İ(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.30437
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.55151
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.990424
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.478328
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02382
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63143
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28351
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99279
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41797
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86532
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.48065
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.83781
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.271327
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.260569
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.251215
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.01582
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.74784
(397.67, 13.95, 247.62) (361.15, 7.78, 261.88) (1.35, 1.29, 1.38) Tools 23.43024
(397.67, 13.95, 247.62) (361.15, 7.78, 261.88) (1.35, 1.29, 1.38) Tools 23.42074
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.098603
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.299543
Ó(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.519356
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.756079
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.011767
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.288657
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.589509
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.917548
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.245357
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.567865
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.008575
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.498534
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04285
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62171
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27257
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97169
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41912
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86654
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.46592
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.75333
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.04253
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.03048
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.02001
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.01107
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.74385
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.4573
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.44858
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.44308
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.44077
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.44167
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.44576
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.093804
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.293826
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.513208
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.749461
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.004609
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.28089
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.581089
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.90829
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.242517
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.58434
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.026801
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.518307
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03139
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61214
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26175
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95098
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.42128
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86887
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.45403
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.151002
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.139005
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.128401
İ(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.119181
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.00782
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.73974
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.51933
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.51059
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.50507
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.50276
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.50366
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.50777
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.089114
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.288175
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.507111
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.742894
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.997477
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.273182
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.572697
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.899174
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.239947
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.600868
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.045118
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.506402
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02139
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60273
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25112
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.319121
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.301231
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.284792
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.461303
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.149406
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.137411
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.126809
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.117591
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.00606
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.09267
(397.67, 13.95, 247.62) (361.03, 7.78, 263.46) (1.35, 1.29, 1.38) Tools 23.73475
(397.67, 13.95, 247.62) (361.03, 7.78, 263.46) (1.35, 1.29, 1.38) Tools 23.72514
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.3129
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.084439
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.28254
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.501049
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.736361
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.990439
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.26557
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.56438
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.890074
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.23772
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.617485
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.036694
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.494702
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01143
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5935
î(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.333695
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.307199
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.28931
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.27289
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.262011
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.149176
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.137182
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.126579
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.117361
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.0058
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.09242
(397.67, 13.95, 247.62) (361.03, 7.78, 263.46) (1.35, 1.29, 1.38) Tools 23.82156
(397.67, 13.95, 247.62) (361.03, 7.78, 263.46) (1.35, 1.29, 1.38) Tools 23.81192
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 8.975733
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.079834
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.277502
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.495046
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.729904
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.98345
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.25796
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.556112
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.881081
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.235795
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.612627
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.026258
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.483122
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00156
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.353312
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.325294
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.298829
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.278802
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.262402
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.2538
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.150311
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.138314
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.12771
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.118491
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.00703
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.03292
(397.67, 13.95, 247.62) (361.03, 7.78, 263.46) (1.35, 1.29, 1.38) Tools 23.91259
(397.67, 13.95, 247.62) (361.03, 7.78, 263.46) (1.35, 1.29, 1.38) Tools 23.90291
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 8.976847
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.075261
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.27262
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.489074
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.723469
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.976502
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.250433
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.547935
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.872145
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.226685
û(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.603252
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.015944
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.471703
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.384095
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.349934
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.318315
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.291873
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.271198
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.255856
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.246971
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.152811
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.140813
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.130206
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.120983
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.00975
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.03566
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.03003
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.66055
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 8.979302
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.070755
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.267807
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.483184
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.717115
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.969602
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.242966
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.539818
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.863272
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.216995
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.594033
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.005766
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.46045
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.384443
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.350281
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.317751
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.29019
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.268092
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.254092
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.245249
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.156679
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.144675
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.134065
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.12484
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.01397
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.20142
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.03427
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.03015
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.737288
(397.67, 13.95, 247.62) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 8.983099
(397.67, 13.95, 247.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.066325
