¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ñ(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.28762
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.6386
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.25637
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.09981
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.61953
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.59061
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.56442
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.54091
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.22125
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.43352
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.21744
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.00903
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.83982
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.9352
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.03392
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.08235
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.326621
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.79286
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.344855
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.945398
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.25614
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58855
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.02172
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.53826
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.76737
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.15232
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.73791
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.39205
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.22934
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.66236
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.63341
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.60717
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.58364
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.04549
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.88509
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.73015
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.69929
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.79046
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.88526
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.98078
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.07577
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.341537
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.809566
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.36633
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.949601
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.26062
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.59336
¼(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.05013
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.56951
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.83649
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23444
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.83624
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.527
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.37031
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.70803
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.67904
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.65276
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.62919
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.02612
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.86603
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.71669
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.65325
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.74389
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.83814
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.93054
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.02495
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.86963
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.355868
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.825621
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.386933
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.954077
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.2654
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.59847
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.07863
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.60086
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.4803
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.31565
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.91512
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.61583
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.50617
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.75658
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.72753
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.70121
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.67761
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.00971
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.85291
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.70606
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.60992
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.70007
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.79288
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.88314
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.97702
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.0746
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.369603
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.841845
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.406647
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.958828
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.27048
Î(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60389
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.10722
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.63232
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.69355
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.39587
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.98881
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.70364
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.04471
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.52702
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.49598
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.46793
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.16145
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.99688
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.84499
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.69825
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.56929
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.65897
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.7488
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.83857
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.93195
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.02901
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.66884
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.382731
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.857428
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.425456
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.963851
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.27584
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60963
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.13589
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.76101
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.06343
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.4751
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.0615
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.03035
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.99012
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.50891
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.55244
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.52436
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.15073
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.99173
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.83992
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.69326
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.55159
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.62056
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.70746
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.79678
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.88968
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.98626
(380.62, 14.69, 269.07) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.08661
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.395253
(380.62, 14.69, 269.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.872289
