¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
º(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.971958
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.03452
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.02763
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.02224
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.01836
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.01597
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.965391
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.160491
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.327707
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.567205
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.845269
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.149073
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.482244
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.808267
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.074453
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.360725
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.66935
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.003036
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.481366
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03958
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.26125
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.23709
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.21457
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.19366
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.17436
¹(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.15664
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.14049
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.1259
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.11287
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.10137
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.0914
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.08296
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.07603
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.07061
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.0667
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.0643
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.01347
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.174042
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.342085
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.59454
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.8751
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.181735
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.5156
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.828357
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.099504
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.387642
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.698385
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.034437
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.536249
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10126
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.31261
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.28833
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.26569
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.24467
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.22527
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.20745
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.19122
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.17656
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.16345
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.15189
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.14187
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.13338
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.12641
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.12097
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.11703
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.11461
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.06353
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.187857
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.362131
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.621978
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.905078
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.214577
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.52801
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.841878
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.12495
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.415014
Ç(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.727952
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.082006
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.591738
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16374
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.36604
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.34163
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.31887
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.29774
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.27823
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.26032
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.244
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.22926
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.21608
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.20445
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.19438
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.18584
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.17883
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.17335
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.16939
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.16696
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.1156
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.201845
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.387476
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.649561
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.935182
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.247561
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.540451
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.855416
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.150843
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.442906
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.757997
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.13218
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.647909
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22702
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.4216
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.39705
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.37416
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.35292
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.3333
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.31529
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.29888
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.28405
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.27079
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.2591
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.24897
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.24038
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.23333
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.22782
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.22384
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.22138
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.16975
·(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.216117
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.412876
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.677244
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.965423
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.262355
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.552961
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.869077
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.177188
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.471249
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.788598
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.182938
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.704711
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29103
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.47933
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.45464
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.43162
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.41025
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.39052
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.37241
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.3559
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.34098
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.32765
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.31589
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.3057
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.29705
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.28996
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.28441
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.28041
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.27793
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.22601
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.230615
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.438399
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.705044
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.995789
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.273952
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.565599
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.882801
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.203936
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.500056
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.819722
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.23423
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.762178
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32264
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.53929
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.51445
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.4913
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.4698
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.44995
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.43173
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.41512
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.40011
µ(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.3867
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.37487
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.36461
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.35591
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.34878
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.34319
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.33916
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.33667
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.28444
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.245343
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.464007
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.732929
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.015735
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.285632
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.578254
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.896607
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.231145
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.529379
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.851387
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.286059
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.820287
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34315
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.60153
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.57654
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.55324
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.53161
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.51164
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.49331
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.4766
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.4615
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.448
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.4361
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.42577
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.41702
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.40983
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.40421
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.40015
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.39764
(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 10.3451
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.260292
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.489699
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.760907
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.02659
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.297343
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.590986
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.91047
