¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ã(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.3834
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.27302
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.37647
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.25725
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.18507
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.30561
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.21185
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.19893
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.19902
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.23781
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.29786
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.32737
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.36902
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.41593
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.968838
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.176848
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.402723
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.646774
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.91124
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.198742
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.512373
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.855491
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.2277
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.639487
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.096091
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47245
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22174
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68815
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3265
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6699
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.40883
ƒ(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.16463
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.29582
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.33464
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.27798
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.2642
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.34629
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.29843
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.29309
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.29134
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.30305
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.31012
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.33631
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.34763
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.3768
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.970443
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.178969
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.405011
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.649251
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.913927
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.201668
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.51557
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.857555
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.230223
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.642275
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.099188
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39281
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19002
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65366
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33686
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47932
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.35377
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.10397
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.62968
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.53886
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.71326
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.45122
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.99751
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.55801
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.55714
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.5586
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.56229
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.57449
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.58978
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.60968
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.6328
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.97205
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.181083
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.407292
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.651719
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.916606
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.204586
ì(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.51876
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.859627
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.232743
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.645063
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.10229
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.612098
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.159
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61994
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34711
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29186
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.04472
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.74815
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.80097
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.6985
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.91342
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.8956
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.82802
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.82727
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.82885
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.83721
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.8507
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.86657
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.88486
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.9069
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.97366
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.18319
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.409566
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.65418
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.919278
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.207497
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.52194
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.861703
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.235266
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.647856
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.105392
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.615566
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1287
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58697
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35733
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29904
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.24751
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.9869
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.16695
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.13243
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.11399
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.11125
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.91994
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.97187
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.10929
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.11361
ß(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.12526
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.13933
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.15584
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.17479
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.19622
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.975271
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.185292
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.411832
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.656632
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.92194
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.210395
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.524919
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.863786
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.237788
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.650643
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.108494
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.619035
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09543
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5548
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36748
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31082
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.07456
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93053
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.44234
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.39395
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.37881
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.38626
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.40105
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.21988
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.55936
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.41836
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.4262
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.43651
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.44908
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.4639
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.48121
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.977017
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.187386
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.414093
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.659076
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.924594
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.213286
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.526824
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.865958
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.240311
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.653433
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.111597
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.622504
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.19757
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55936
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37754
ï(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.32253
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.8411
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.87556
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.80924
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.75518
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.73089
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.73601
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.77988
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.68993
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.77958
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.76704
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 21.24528
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.53322
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.87021
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.978956
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.189471
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.416344
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.661514
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.927239
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.216166
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.528732
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.868248
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.242832
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.656222
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.114698
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.626723
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.20303
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56811
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3876
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33419
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.6127
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82199
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.12084
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.90725
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.9381
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.92044
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.57636
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.59093
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.51089
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 21.83472
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 21.08014
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 20.37893
(325.70, 7.18, 390.33) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.72571
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.980886
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.191548
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.418587
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.663941
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.929874
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.219037
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.530646
(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.870537
ë(325.70, 7.18, 390.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.245353
