¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
€ (389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.318141
ï(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.878892
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.855011
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.880838
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.910798
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.94206
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.974654
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81047
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34464
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78345
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25946
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00728
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.80968
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.428361
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.440376
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.453258
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.46702
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.481671
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.104921
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.01194
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.92238
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.890309
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.911442
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.941759
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.97339
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.00636
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7685
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33153
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76931
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24412
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01499
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.71339
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.962376
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.168893
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.497034
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.511197
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.908512
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.15231
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.058257
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.967673
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.926998
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.943219
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.97391
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.005925
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.039289
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.47898
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31922
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75595
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22967
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02323
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.61601
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.946347
é(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.151666
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.372609
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.616966
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.887053
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.181287
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.106477
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.014819
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.965109
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.976192
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.007273
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.039687
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.073463
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.461545
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27753
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74347
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23062
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03195
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.51767
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.930403
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.134503
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.354167
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.597375
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.865746
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.157999
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.15666
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.063878
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.004678
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.010384
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.041872
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.074704
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.108911
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.443882
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23202
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73181
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23867
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04106
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.41838
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.91455
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.117492
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.335791
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.577859
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.84453
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.13486
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.208867
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.114908
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.045743
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.045824
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.077736
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.111003
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.145658
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.425998
è(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18722
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72097
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24712
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05068
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.31814
(389.98, 13.82, 251.64) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 22.53677
(389.98, 13.82, 251.64) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 22.48984
(389.98, 13.82, 251.64) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 22.68549
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.898783
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.100544
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.317566
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.55841
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.82338
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.111845
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.263164
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.167973
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.088341
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.082538
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.114892
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.148616
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.183737
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.407896
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14305
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71091
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25596
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05272
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.21706
(389.98, 13.82, 251.64) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 22.37948
(389.98, 13.82, 251.64) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 22.369
(389.98, 13.82, 251.64) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 22.36187
(389.98, 13.82, 251.64) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 22.48076
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.883109
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.083733
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.299472
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.539047
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.802371
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.088896
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.319621
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.223141
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.132514
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.120555
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.15337
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.187568
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.223177
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.389583
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09958
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70171
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26521
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03004
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.11514
(389.98, 13.82, 251.64) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 22.45878
ñ(389.98, 13.82, 251.64) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 22.44494
(389.98, 13.82, 251.64) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 22.42494
(389.98, 13.82, 251.64) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 22.42736
(389.98, 13.82, 251.64) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 22.4236
(389.98, 13.82, 251.64) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 23.03511
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.867558
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.067038
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.281487
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.5198
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.781491
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.066106
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.376864
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.28048
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.186273
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.161631
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.193202
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.227893
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.264009
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.371071
(389.98, 13.82, 251.64) (372.59, 7.60, 270.35) (1.00, 0.16, 1.00) Tools 10.55293
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68771
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27489
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00804
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.00634
(389.98, 13.82, 251.64) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 23.79107
(389.98, 13.82, 251.64) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 22.52799
(389.98, 13.82, 251.64) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 22.51415
(389.98, 13.82, 251.64) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 22.50369
(389.98, 13.82, 251.64) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 22.49659
(389.98, 13.82, 251.64) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 22.49286
(389.98, 13.82, 251.64) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 22.55658
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.852115
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.050427
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.263606
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.500648
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.760668
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.043468
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.352072
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.340065
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.244507
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.209004
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.234417
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.269623
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.306269
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.35236
(389.98, 13.82, 251.64) (372.59, 7.60, 270.35) (1.00, 0.16, 1.00) Tools 10.52372
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6405
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27002
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98671
