¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
è(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.266938
(336.83, 7.62, 327.39) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.072634
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.350115
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.17388
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.060198
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.991304
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.978237
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.966399
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.955781
ç(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.006373
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.07602
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.148115
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.371481
(336.83, 7.62, 327.39) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 13.26016
(336.83, 7.62, 327.39) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.36665
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 4.9808
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 4.999294
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.018677
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.065727
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.154726
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.247705
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.740374
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.772496
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.805948
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.840757
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.933293
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.081587
(336.83, 7.62, 327.39) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.018567
(336.83, 7.62, 327.39) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.07067
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.495937
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.240842
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.125433
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.048855
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.035693
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.023771
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.01308
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.061017
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.131679
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.204827
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.42633
(336.83, 7.62, 327.39) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 13.22455
(336.83, 7.62, 327.39) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.29604
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 4.979295
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 4.99777
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.017136
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.065522
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.154513
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.247484
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.751396
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.783663
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.81726
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.852221
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.942598
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.09132
(336.83, 7.62, 327.39) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.017801
(336.83, 7.62, 327.39) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.069894
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.650444
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.310367
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.193149
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.108457
è(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.0952
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.083191
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.07242
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.11754
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.189263
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.26351
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.482958
(336.83, 7.62, 327.39) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 13.19084
(336.83, 7.62, 327.39) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.22822
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 4.978374
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 4.99684
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.016193
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.065691
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.154689
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.247667
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.76329
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.795711
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.829468
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.864593
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.952524
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.101706
(336.83, 7.62, 327.39) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.018204
(336.83, 7.62, 327.39) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.070302
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.814299
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.382545
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.263434
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.170178
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.156822
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.144723
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.133872
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.176002
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.24883
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.324222
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.541415
(336.83, 7.62, 327.39) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 13.15902
(336.83, 7.62, 327.39) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.16313
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 4.978041
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 4.996501
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.015851
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.066233
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.155252
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.248253
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.776061
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.808649
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.842577
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.877878
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.963078
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.112747
(336.83, 7.62, 327.39) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.019774
(336.83, 7.62, 327.39) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.071895
(336.83, 7.62, 327.39) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.125992
í(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.45747
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.336382
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.234084
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.220625
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.208432
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.197499
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.236457
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.310437
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.387021
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.601751
(336.83, 7.62, 327.39) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 13.12906
(336.83, 7.62, 327.39) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.10072
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 4.978292
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 4.996756
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.016109
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.067151
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.156205
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.249244
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.789719
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.822485
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.856598
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.892087
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.97426
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.124449
(336.83, 7.62, 327.39) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.022515
(336.83, 7.62, 327.39) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.074676
(336.83, 7.62, 327.39) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.128811
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.535248
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.412089
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.300245
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.286681
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.274392
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.263372
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.298968
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.374147
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.451976
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.664022
(336.83, 7.62, 327.39) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 13.10095
(336.83, 7.62, 327.39) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.04094
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 4.979129
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 4.997602
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.016966
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.06844
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.157546
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.250638
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.804271
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.837229
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.871536
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.907227
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.986076
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.136813
í(336.83, 7.62, 327.39) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.026429
(336.83, 7.62, 327.39) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.078643
(336.83, 7.62, 327.39) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.132836
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.615987
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.490661
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.370157
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.355062
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.342675
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.331566
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.363598
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.440029
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.519153
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.728282
(336.83, 7.62, 327.39) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 13.07466
(336.83, 7.62, 327.39) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 15.98376
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 4.980551
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 4.999043
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.018422
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.070105
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.159277
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.252439
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.819726
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.852887
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.887403
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.923308
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.998531
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.149848
(336.83, 7.62, 327.39) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.031515
(336.83, 7.62, 327.39) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.083801
(336.83, 7.62, 327.39) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.138069
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.699803
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.572206
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.449541
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.425852
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.413361
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.40216
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.430414
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.508149
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.588625
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.794591
(336.83, 7.62, 327.39) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 13.05019
(336.83, 7.62, 327.39) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 15.92913
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 4.982562
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.001076
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.02048
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.072144
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.161396
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.254644
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.836094
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.86947
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.904209
