¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.01363
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.965231
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.213091
š(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.480426
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.769505
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.083075
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.424366
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.797106
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.20579
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.65579
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15369
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70738
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32672
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95461
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59221
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28305
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12736
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.14623
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.388979
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.39094
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.394002
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.228754
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.233914
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.240164
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.247507
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.255948
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.265497
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.276156
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.287937
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.329413
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.530628
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.746093
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.97735
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.226163
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.494484
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.78476
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.099663
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.442399
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.816843
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.227457
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.679708
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1802
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.149056
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.143106
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.138228
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.970952
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.968275
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.966643
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.966048
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.966495
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.967983
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.97051
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.974081
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.978698
±(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.984364
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.991083
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.998863
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.007704
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.017618
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.037082
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.339342
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.541269
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.757489
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.989592
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.239313
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.508737
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.982347
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.968812
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.956365
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.785865
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.775804
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.76678
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.758789
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.751822
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.745876
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.740945
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.737028
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.734118
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.732216
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.73132
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.731428
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.732541
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.73466
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.737787
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.767571
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.813629
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.861353
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.910787
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.612813
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.746514
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.743169
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.349398
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.552004
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.769014
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.650397
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.634131
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.618931
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.604782
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.591677
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.579603
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.568551
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.558514
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.549484
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.541454
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.534417
±(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.52837
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.523306
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.519222
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.516116
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.550747
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.588108
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.626891
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.667138
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.99706
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.407279
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.53675
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.52783
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.659098
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.652333
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.646722
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.780997
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.777618
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.35953
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.562831
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.602677
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.558182
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.515249
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.473833
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.433896
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.395397
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.376601
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.36562
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.355623
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.353928
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.382538
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.412367
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.443444
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.137865
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.119592
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.244241
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.227937
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.352196
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.339641
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.326492
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.32607
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.441634
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.571685
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.562703
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.694559
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.687742
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.682084
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.81696
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.813543
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.369797
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.573812
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.779802
±(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.811095
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.866598
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.836852
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.93401
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.928115
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.901539
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.022058
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.997401
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.973954
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28954
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.068689
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.191919
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.172366
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.153984
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.279214
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.26281
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.384272
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.375012
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.361779
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.66654
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.477434
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.608089
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.599043
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.731511
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.72464
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.718933
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.854435
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.850981
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.3801
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.584868
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.804229
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.823451
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.901229
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.871312
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.948216
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.962988
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 6.936258
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.086135
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.032559
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.008972
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31771
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.104138
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.227965
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.208292
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.189797
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.315632
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.299125
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.416836
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.411842
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.398522
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.01891
±(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.51471
(369.41, 6.97, 352.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 7.645995
