¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Í(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.440519
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.552427
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.836235
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.184716
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.591164
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.047626
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.563858
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.152319
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.82919
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.61589
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.48293
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.60815
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.53266
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.83572
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.279807
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.456866
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.647085
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.851363
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.066555
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.303809
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.565121
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.8501
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.202616
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.611209
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.070225
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.589522
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.181714
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.863186
¿(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.64959
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.51848
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.68041
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.66153
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.94983
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.287497
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.465117
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.655959
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.86066
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.07659
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.315547
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.577898
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.864059
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.220476
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.631218
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.092789
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.61516
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.211088
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.897173
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.66478
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.55395
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.75275
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.79023
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.14344
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.295235
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.47342
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.664889
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.870038
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.08671
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.32736
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.59076
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.878112
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.238295
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.651185
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.115314
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.64076
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.240437
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.931148
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.67987
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.58933
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.82515
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.91867
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.33744
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.303017
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.481772
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.673873
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.879493
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.096917
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.339244
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.6037
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.892255
ñ(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.256066
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.671105
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.137792
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.666318
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.269747
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.957718
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.6966
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.63718
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.90137
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.04677
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.53167
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.310843
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.490171
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.682911
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.889027
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.107209
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.351202
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.616724
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.90649
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.273786
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.690974
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.16022
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.691829
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.299017
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.970605
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.72632
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.6859
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.98292
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.17442
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.72602
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.318713
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.498619
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.692
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.898638
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.118122
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.363228
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.629824
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.920814
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.29145
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.710786
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.182592
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.717286
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.328236
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.983399
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.75592
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.73454
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.06442
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.30153
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.92028
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.326625
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.507113
Ë(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.701141
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.908324
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.129262
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.375325
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.643003
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.935225
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.309057
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.730539
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.204906
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.742683
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.350444
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.996099
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.7854
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.78307
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.14584
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.42799
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 19.11434
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.33458
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.515654
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.710334
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.918086
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.140464
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.387489
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.656259
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.949722
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.3266
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.750226
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.227151
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.768016
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.361444
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.0087
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.81476
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.83148
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.22715
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.55369
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.3097
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.342576
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.524239
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.719575
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.927922
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.151723
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.399719
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.669588
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.964303
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.344075
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.769845
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.249325
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.793276
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.372352
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.03318
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.84397
¾(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.88308
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.30831
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.67855
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.51519
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.56349
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.350611
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.532869
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.728865
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.937831
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.163042
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.412015
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.682992
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.979126
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.36148
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.789388
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.271422
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.813173
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.383175
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.05801
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.88247
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.94084
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.38928
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.80243
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.72016
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.61318
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.358685
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.54154
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.738202
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.947813
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.174418
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.424376
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.696468
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.99465
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.378808
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.808854
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.293438
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.822614
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.393898
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.0827
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.92231
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.99842
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.47003
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.92523
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.92442
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.61801
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.366798
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.550254
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.747585
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.957866
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.185849
