¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
«(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.1111
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.47314
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.26356
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.84016
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.12741
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.07894
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.09212
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.17832
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.19977
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.22312
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.2484
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.27561
¥(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.30478
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.177726
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.396644
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.632675
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.345957
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.639925
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.959664
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.308659
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.690983
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.112684
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.5903
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12234
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7186
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39133
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.81733
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.7728
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.74569
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.73236
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.73289
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.74012
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.60843
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.69934
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.70683
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.75925
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.76895
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.78026
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.79332
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.80817
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.82484
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.84332
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.86363
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.88579
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.178201
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.397157
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.633229
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.346728
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.640814
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.960646
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.309706
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.692142
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.112875
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.585763
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11731
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71293
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3849
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.65778
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.01165
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.98988
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.96982
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.95147
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.93481
²(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.50118
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.60356
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.47828
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.46773
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.45891
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.7518
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.75283
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.76505
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.77832
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.79339
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.81026
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.82894
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.178663
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.397654
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.076213
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.347536
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.641683
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.961571
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.310729
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.693259
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.114141
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.581194
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11219
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70719
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37838
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.73005
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.69966
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.67846
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.65893
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.64106
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.62483
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.78708
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.6588
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.27751
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.27191
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.268
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.80941
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.80963
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.822
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.83616
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.5788
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.86992
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.88954
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.17911
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.398136
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.076941
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.348307
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.642512
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.962476
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.311749
