¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ë(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.255695
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 8.088198
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 8.20383
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.948976
î(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.103966
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.103333
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.103461
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.10435
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.106003
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.108421
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.382644
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.732811
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.132686
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.593587
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.614769
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.063264
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.094022
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.125869
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.158842
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.192976
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.228313
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.264892
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.325462
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.437099
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.555352
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.680796
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.814085
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.688622
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.671899
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.731504
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.834518
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.941511
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.060576
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.616689
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.61488
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.613762
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.613331
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.613588
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.614536
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.709994
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.975034
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.272513
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.608722
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.991684
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.839136
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.017503
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.047369
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.078295
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.110316
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.143467
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.177786
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.213312
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.297096
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.407159
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.523704
í(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.647292
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.202711
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.519254
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.503203
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.598771
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.697968
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.414175
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.216651
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.213957
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.211894
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.210462
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.209658
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.209483
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.209936
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.395547
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.625318
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.881203
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.167877
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.491193
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.207861
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.973167
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.002181
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.032227
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.063339
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.095551
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.128899
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.166685
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.269364
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.377902
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.49279
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.614578
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.375517
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.358257
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.379248
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.471381
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.171972
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.163595
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.155872
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.148796
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.14236
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.13656
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.131394
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.126855
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.122941
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.120905
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.322029
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.544507
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.791885
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.068545
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.684152
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.930202
è(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.9584
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.987606
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.01785
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.049165
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.081586
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.140947
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.242255
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.349311
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.462592
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.582633
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.221996
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.205059
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.26015
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.189058
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.180005
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.972068
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.778653
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.355865
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.877022
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.479017
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.997564
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.355951
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.745587
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.127577
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.124898
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.251774
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.467459
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.706935
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.242734
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.011353
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.888557
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.915976
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.944378
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.973792
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.00425
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.035786
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.115778
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.215755
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.321372
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.433094
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.673863
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.075765
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.378654
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.20751
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.197768
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.531826
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.216586
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.770648
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.208408
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.70792
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.25631
é(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.555367
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.878281
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.227957
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.290909
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.13347
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.131406
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.184717
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.394084
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.865685
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.353059
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.848184
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.874857
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.902489
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.93111
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.96075
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.997609
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.091168
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.189852
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.294071
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.404281
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 6.953801
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.238476
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.227349
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.6733
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.151681
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.740124
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.27318
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.646003
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.067063
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.546287
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.883668
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.155435
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.447911
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.691315
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.691264
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.692512
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.140629
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.139179
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.138347
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.539926
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.808907
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.809036
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.834996
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.861893
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.889754
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.91861
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 3.974712
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.067106
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.164534
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.267396
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.376138
