¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ (431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.192509
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.997141
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.163127
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.339519
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.527313
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.727556
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.941616
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.170815
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.416819
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.715737
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.062145
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.442441
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.853076
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.305356
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.807865
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31154
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.33679
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.13667
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.11591
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.09674
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.07914
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.0631
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.04861
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.03566
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.02423
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.01433
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.00593
— (431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.39166
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.49648
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.20785
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.20247
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.826958
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.982572
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.147653
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.323085
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.509805
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.708933
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.921701
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.149487
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.393944
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.699971
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.044869
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.423468
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.835818
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.286251
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.786615
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27873
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.35729
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.15676
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.13595
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.11673
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.09909
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.08301
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.06849
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.0555
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.04405
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.03411
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.0257
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.41218
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.4888
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.16639
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.16105
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.813413
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.968237
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.132468
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.306948
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.492629
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.69062
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.902171
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.128613
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.371513
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.684412
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.027852
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.404755
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.818888
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.267494
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.76218
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24662
Ï (431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.37943
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.17846
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.1576
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.13833
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.12064
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.10452
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.08996
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.07694
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.06545
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.05549
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.04704
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.43434
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.4827
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.12676
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.12148
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.800131
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.954179
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.117534
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.2911
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.475806
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.672698
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.882997
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.108081
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.356151
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.669112
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.011111
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.386338
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.799816
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.249053
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.733654
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21516
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.40322
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.20179
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.18087
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.16155
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.14381
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.12765
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.11304
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.09998
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.08846
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.07846
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.06999
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.45816
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.47816
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.08895
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.08371
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.785456
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.940363
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.102879
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.275541
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.459255
« (431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.655044
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.864162
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.087925
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.342295
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.653983
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.994569
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.368165
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.779783
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.230955
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.705762
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1844
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.4287
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.22676
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.20578
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.1864
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.16861
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.1524
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.13774
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.12464
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.11308
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.10305
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.09455
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.48366
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.5434
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.05291
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.04771
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.769898
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.926684
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.088518
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.260281
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.443027
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.637772
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.845713
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.068177
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.328661
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.6391
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.978258
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.350274
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.760048
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.213217
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.678471
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15469
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.45587
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.2534
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.23235
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.21291
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.19506
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.1788
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.1641
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.15095
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.13935
  (431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.12929
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.12075
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.51086
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.61608
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.01862
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.01346
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.75459
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.910463
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.074409
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.245309
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.427097
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.620817
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.827589
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.048812
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.315203
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.624458
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.96225
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.332676
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.74061
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.192011
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.654313
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13808
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.48476
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.46162
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.2606
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.24109
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.22319
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.20687
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.19211
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.17892
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.16728
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.15718
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.14861
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.53978
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.69137
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 9.986043
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 9.98092
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.73954
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.894493
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.059008
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.230614
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.411476
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.604176
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.809875
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.029861
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.301933
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.610024
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.946461
