¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ë(336.07, 7.19, 370.83) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 13.31315
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.335591
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.637691
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.606487
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.486847
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.390041
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.367439
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.34607
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.325913
Ê(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.326366
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.36948
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.414218
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.460622
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.607715
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.801648
(336.07, 7.19, 370.83) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 10.3483
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 10.15662
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 10.86595
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 11.41881
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 11.83287
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 12.24102
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 12.23006
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 12.22094
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 11.44876
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 9.830862
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.940259
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.14713
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.801152
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.057983
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.336165
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.638326
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.638222
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.517694
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.414433
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.391757
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.370317
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.350094
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.347424
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.390839
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.435886
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.48261
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.624914
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.819768
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 9.905284
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 10.37521
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 11.11687
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 11.97465
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 12.46175
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 12.9593
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 13.15658
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 13.14663
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 12.53481
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 9.810757
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.940652
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.563737
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.801664
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.058537
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.336723
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.638942
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.671686
Ö(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.550219
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.440101
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.417346
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.395832
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.375539
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.369559
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.413291
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.458666
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.505727
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.642957
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.838781
(336.07, 7.19, 370.83) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 11.09152
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 10.14322
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 11.38031
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 12.28125
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 13.16278
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 13.71986
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 14.23729
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 14.22635
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 13.85121
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 9.846214
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.941044
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.5642
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.802123
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.059052
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.337282
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.639533
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.706914
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.584453
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.467065
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.444228
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.422635
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.402269
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.392786
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.436852
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.48257
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.529985
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.661849
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.858692
(336.07, 7.19, 370.83) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 10.0814
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 9.852839
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 11.28565
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 12.60473
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 13.72217
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 14.57701
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 15.26665
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 15.50181
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 15.47963
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 10.35723
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.941438
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.564632
Ø(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.802618
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.059576
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.337864
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.640168
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.743947
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.620437
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.501908
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.472425
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.45075
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.430308
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.417119
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.461538
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.507618
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.555407
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.681605
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.879514
(336.07, 7.19, 370.83) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 11.55252
(336.07, 7.19, 370.83) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 10.27854
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 9.822267
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 12.71736
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 14.12859
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 15.55025
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 16.3384
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 9.770156
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 9.920363
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 10.92547
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.34411
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.565094
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.803117
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.060118
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.338418
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.640791
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.782825
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.658211
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.538631
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.501963
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.480202
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.459676
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.442579
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.487366
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.533827
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.582008
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.702229
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.901258
(336.07, 7.19, 370.83) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 13.04451
(336.07, 7.19, 370.83) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 10.03582
(336.07, 7.19, 370.83) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 11.52332
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 9.794764
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 9.78288
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 9.772484
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 9.763562
Ó(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 10.13918
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 10.76394
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 11.56102
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 14.09529
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.344511
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.565557
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.803599
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.060617
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.338974
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.641399
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.823594
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.697816
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.577129
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.532861
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.511011
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.490402
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.471017
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.514355
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.561215
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.609807
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.723735
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.923932
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33789
(336.07, 7.19, 370.83) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 10.02293
(336.07, 7.19, 370.83) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 10.90304
(336.07, 7.19, 370.83) (349.51, 0.49, 347.06) (1.16, 1.16, 6.53) Tools 13.11003
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 10.73816
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 10.72584
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 10.71515
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 11.02301
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 11.76592
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 12.61823
(336.07, 7.19, 370.83) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 15.1736
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.34494
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.565999
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.804086
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.061166
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.339561
(336.07, 7.19, 370.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.642026
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.866299
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.739295
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.617448
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.56515
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.543205
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.522509
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.503039
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.542524
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.589802
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.638824
(336.07, 7.19, 370.83) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.746133
