¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ú (403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.224211
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.180971
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.181258
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.182616
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.185048
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.188555
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.46902
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.707201
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.964642
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.243528
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.53275
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.847304
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.861669
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.839991
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.819467
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.800075
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.781805
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.764638
’!(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.748562
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.733566
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.719636
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.706763
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.694938
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.68415
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.674389
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.665652
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.095
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.528988
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.154333
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.150332
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.147402
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.145541
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.144747
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.145019
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.146359
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.148766
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.152241
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.470092
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.70837
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.965917
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.244654
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.533989
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.848661
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.860707
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.839035
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.81851
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.799122
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.780854
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.76369
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.747615
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.732621
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.718694
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.705822
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.693999
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.683211
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.673453
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.664717
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.125391
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.556678
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.119528
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.115534
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.112607
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.110744
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.109941
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.110199
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.111521
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.113903
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.117352
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.471116
ı (403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.709465
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.967117
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.245771
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.535218
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.849971
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.860765
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.839091
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.818569
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.79918
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.78091
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.763746
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.747673
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.732677
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.718751
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.70588
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.694055
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.683269
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.67351
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.664773
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.155849
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.585708
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.086112
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.082126
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.079201
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.077334
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.076524
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.07677
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.078074
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.080434
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.083853
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.472115
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.710529
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.968243
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.2469
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.536441
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.851325
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.861843
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.840166
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.819641
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.800249
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.781976
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.764809
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.748734
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.733737
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.719807
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.706935
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.695109
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.68432
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.674561
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.665823
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.186369
ı (403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.616103
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.054053
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.050074
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.047151
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.045282
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.044465
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.044698
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.045984
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.048323
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.051717
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.473028
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.711523
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.969356
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.247999
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.537638
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.852593
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.863942
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.842257
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.821727
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.80233
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.784053
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.766881
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.750801
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.735799
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.721866
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.708991
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.69716
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.686369
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.676607
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.667867
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.216943
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.647888
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.023324
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.019351
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.01643
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.014559
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.013735
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.013958
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.015227
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.017545
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.020912
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.473919
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.712487
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.970375
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.249092
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.538807
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.853884
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.867062
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.845368
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.824828
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.805424
›!(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.787138
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.76996
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.753873
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.738864
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.724927
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.712045
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.700212
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.689415
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.679649
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.670907
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.247567
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.72521
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.993898
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.989934
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.987015
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.985141
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.98431
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.984521
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.985775
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.988074
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.991417
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.474784
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.713401
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.971363
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.250157
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.539972
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.855154
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.871207
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.849502
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.828949
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.809534
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.791238
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.774049
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.757954
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.742939
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.728993
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.716104
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.704264
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.693462
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.683691
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.674944
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.334635
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.839605
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.076303
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.065676
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.056133
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.047666
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.040269
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.033937
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.028663
