¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¡(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.977085
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.271324
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.601566
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.961254
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.356626
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.812727
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.322965
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.914047
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.59741
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38996
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.31264
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.41167
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.79318
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.59108
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.45325
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.229737
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.462863
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.715156
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.980789
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.27264
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.60301
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.962238
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.358146
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.814422
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.324868
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.916535
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60091
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39403
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.3174
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.41762
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.80252
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.59949
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.46743
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.230942
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.464165
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.716073
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.981604
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.27386
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.604345
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.963128
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.359501
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.815936
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.326565
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.918744
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60406
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39767
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.32167
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.42294
›(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.81093
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.60672
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.47819
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.232086
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.465403
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.716784
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.982375
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.274978
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.605573
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.963926
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.360691
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.817263
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.328054
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.920665
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60684
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.4009
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.32544
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.42762
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.81841
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.61277
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.48551
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.233171
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.466577
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.717453
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.983101
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.276
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.606694
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.964633
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.361715
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.818407
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.32934
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.9223
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60926
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.4037
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.32873
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.43165
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.82494
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.61764
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.4894
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.234198
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.467686
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.718082
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.983783
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.276922
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.607707
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.965245
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.362577
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.819366
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.330418
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.923903
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.61131
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.40608
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.33152
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.43505
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.83053
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.62131
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.48984
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.235164
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.46873
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.71867
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.984419
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.277747
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.608612
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.965766
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.363272
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.820142
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.331287
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.925365
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.613
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.40803
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.33381
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.43797
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.83517
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.62379
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.48684
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.23607
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.469709
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.719215
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.985012
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.278472
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.609406
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.966196
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.363801
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.820733
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.331951
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.926517
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.61432
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.40956
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.3356
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.44103
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.83886
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.62508
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.48038
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.236916
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.470623
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.719719
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.98556
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.279098
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.610095
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.966529
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.364165
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.821139
–(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.332407
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.927356
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.61528
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.41067
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.3369
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.44338
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.8416
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.62518
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.4705
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.2377
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.471471
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.720181
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.986062
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.279625
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.610672
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.966771
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.364362
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.82136
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.332655
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.927881
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.61587
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.41135
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.3377
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.445
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.84338
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.62408
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.45719
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.238425
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.472255
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.720603
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.98652
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.280054
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.611128
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.96692
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.364393
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.821396
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.332695
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.928095
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.61609
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.41161
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.338
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.44591
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.84422
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.62178
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.44047
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.239088
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.472972
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.720983
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.98693
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.280381
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.611177
Â(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.966976
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.364261
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.821245
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.332528
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.927997
