¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Œ (392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.785171
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.027267
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.418833
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.851997
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.333607
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.872184
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53651
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2637
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10069
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07412
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21804
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.48679
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.15052
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.13292
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.11747
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.10416
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.09297
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.09477
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.17301
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 15.04388
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.65738
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.65387
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.65255
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.65341
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.85819
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.052639
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.268456
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.508105
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.76778
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.041356
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.337704
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.661281
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.015944
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.406393
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.838168
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.318171
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.854904
¯ (392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5093
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23256
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06465
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03199
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16112
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.41915
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.35779
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.25016
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.22731
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.20666
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.29949
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.29229
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.37286
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 15.06782
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.7314
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.72787
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.72653
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.72739
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.854364
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.048548
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.263539
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.502719
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.761093
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.03276
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.328344
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.651026
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.004726
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.393969
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.824442
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.30288
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.837725
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48218
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20156
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02878
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99007
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10476
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.35223
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.46374
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.1079
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.08534
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.06495
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.37579
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.35931
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.83123
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 15.09409
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.8084
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.80484
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.80349
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.80435
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.850589
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.044511
 (392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.258614
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.497387
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.753224
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.024208
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.319012
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.640849
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.993518
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.381639
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.810757
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.287637
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.820645
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45524
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17068
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99315
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.94844
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.04895
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 15.09106
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.53485
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 13.97053
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 13.94825
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 13.9281
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.47605
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.46681
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.76983
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 15.19526
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.88844
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.88486
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.88349
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.88435
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.846837
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.040464
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.253674
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.49205
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.745384
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.015727
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.309765
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.630713
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.982403
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.369371
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.797163
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.272498
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.80368
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42837
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13998
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96102
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91634
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.99368
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 15.0704
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.76445
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 13.83787
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 13.81584
Ÿ (392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 13.79594
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.70483
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.69547
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.70951
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 15.34905
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.9716
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.96798
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.96661
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.96746
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.843131
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.036496
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.248722
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.486674
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.7376
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.007256
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.300571
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.620672
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.971374
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.357184
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.783656
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.257479
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.786823
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40482
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12113
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93373
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88448
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.939
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15575
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 15.00368
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 13.70973
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 13.68796
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 13.66829
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.94321
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.93373
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.92649
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 15.69818
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 15.05795
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 15.05431
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 15.05291
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 15.05377
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.83947
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.032568
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.243782
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.481341
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.729869
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.99887
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.291414
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.610637
