¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ã(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.41461
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.589356
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.012008
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.485852
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.984534
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.456217
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.981739
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58934
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.17872
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.83943
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84344
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49981
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.28092
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.10468
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.20072
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.17099
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.1442
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.12034
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.09938
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.08132
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.06613
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.05381
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.04434
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.280193
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.455599
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.64393
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.849164
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.079924
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.330625
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.60392
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.893807
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.210574
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.576169
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.997269
î(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.466107
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.956672
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.425278
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.947197
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.55365
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.13887
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.79467
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88115
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.63874
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.45112
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.55401
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.9943
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.96502
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.93865
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.91517
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.89457
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.87683
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.86194
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.84987
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.84064
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.273023
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.447912
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.635668
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.841445
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.071553
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.321518
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.592949
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.881025
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.196547
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.562975
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.982526
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.44549
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.92919
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.394779
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.913155
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.51863
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.09979
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.75882
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91908
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.78174
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.596
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.67127
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.79507
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.76622
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.74025
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.71714
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.69688
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.67945
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.66483
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.65302
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.644
´(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.265903
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.440279
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.627467
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.833747
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.063204
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.312434
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.581326
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.86832
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.182607
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.549775
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.967781
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.424985
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.902093
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.364712
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.879608
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.48427
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.06146
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.74103
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95729
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98632
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.74495
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.79078
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.60273
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.5743
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.54871
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.52596
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.50602
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.48888
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.47453
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.46296
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.45415
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.258835
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.432703
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.619325
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.826069
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.054879
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.303378
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.569771
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.855696
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.168757
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.536574
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.953034
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.404593
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.875374
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.335077
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.846558
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.45057
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.02388
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.72697
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.02816
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.12486
è(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.89812
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.91254
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.41702
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.38898
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.36377
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.34136
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.32173
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.30487
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.29078
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.27943
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.27082
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.25182
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.425184
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.611248
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.818414
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.046581
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.29435
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.558293
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.843154
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.155001
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.523374
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.938295
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.384321
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.849037
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.305875
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.820132
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.41752
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.98704
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.72027
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.018
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.26717
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.05564
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.25486
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.23768
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.21003
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.18517
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.16308
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.14375
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.12717
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.11332
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.10219
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.09377
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.244858
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.417722
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.603233
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.810782
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.038308
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.285353
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.546885
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.830693
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.141337
à(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.510175
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.923558
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.364167
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.823077
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.277102
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.79676
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.38512
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.95093
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.7133
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.98795
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.41338
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.21765
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.51649
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.06449
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.03721
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.01268
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.99091
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.97187
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.95555
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.94193
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.93101
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.92277
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.237951
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.41032
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.595283
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.803177
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.030063
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.276209
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.535555
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.818318
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.127768
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.496981
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.908831
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.344135
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.797493
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.248753
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.7736
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.35335
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.91555
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.70607
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1124
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56366
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.14923
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.45691
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.89721
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.87028
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.84609
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.82461
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.80585
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.78978
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.77638
º(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.76566
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.75759
