¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ñ(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.16873
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.986185
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.369461
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.92459
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.56998
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.21242
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.22015
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.32201
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.28
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.20844
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.28918
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.70024
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.15255
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.274142
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.417683
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.570111
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.732245
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.898092
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.042711
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.212207
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.3994
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.599241
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.846403
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.10238
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.351861
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.635525
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.966251
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.276694
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.626565
ù(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.981795
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.352819
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.929146
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.5515
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.23775
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.27301
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.40048
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.36915
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.30456
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.37895
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.84085
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.31832
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.26877
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.411991
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.564068
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.725819
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.889304
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.033452
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.201007
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.387476
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.586521
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.832123
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.092753
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.341516
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.622564
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.959683
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.26959
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.617987
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.978066
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.346108
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.934444
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.53298
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.2641
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.32733
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.48095
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.46071
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.40362
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.47126
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.96347
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.46026
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.263556
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.406465
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.558204
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.719585
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.880858
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.024556
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.190125
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.375892
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.574164
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.818033
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.083515
ÿ(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.331593
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.609878
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.953596
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.263004
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.609925
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.974998
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.342775
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.940482
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.51443
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.29149
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.38313
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.56345
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.55475
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.50569
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.72679
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.08967
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.60655
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.258502
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.40111
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.55252
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.713542
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.872756
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.016021
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.179561
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.364647
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.562171
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.804132
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.074661
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.322084
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.597466
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.947989
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.256938
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.602379
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.972587
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.340158
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.947268
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.49584
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.31993
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.44044
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.64804
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.65133
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.61084
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.84876
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.2195
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.75741
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.253606
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.395924
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.547015
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.70769
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.864993
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.007844
€(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.169312
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.353738
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.550539
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.790422
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.066194
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.312988
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.585329
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.942858
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.25139
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.595345
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.970833
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.338257
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.954802
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.47723
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.34943
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.49928
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.73477
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.7505
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.71916
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.97402
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.35927
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.75104
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.24887
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.390905
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.54169
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.702029
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.857569
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.000026
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.159377
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.343165
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.539265
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.776903
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.05811
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.304307
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.573463
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.938204
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.246355
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.588825
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.969738
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.337067
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.963083
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.4586
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37999
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.55968
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.82367
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.85233
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.35684
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.10271
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.51729
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.70602
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.244291
ú(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.386055
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.536542
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.696558
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.850482
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.992562
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.149754
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.332925
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.528347
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.763572
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.050408
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.296035
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.56187
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.931087
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.241837
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.582814
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.969298
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.33659
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.95175
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.46167
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.41163
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.62167
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.91481
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.95691
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.42196
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.23478
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.67961
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.67217
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.239872
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.381372
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.531575
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.691277
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.843731
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.985453
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.140441
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.323017
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.517785
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.750433
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.043088
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.288176
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.552102
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.918603
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.237832
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.577315
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.968786
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.336827
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.934974
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.47247
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.44436
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.68528
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.00822
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.06427
‡(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.49178
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.37043
(334.22, 7.26, 331.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.84635
