¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
’(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.722484
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.14387
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.12324
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.04678
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.251937
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.472504
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.7151
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.950491
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.204102
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.478078
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.774922
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.165739
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.610612
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.108672
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.666517
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32969
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.05354
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.89306
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.82061
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68998
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.91828
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.37358
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.09905
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.18605
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.23891
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.043388
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.248295
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.472174
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.699868
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.934112
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.18644
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.458981
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.763367
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.162319
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.60723
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.10451
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.661573
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.3389
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.04932
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.8912
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.81845
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70344
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.9341
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.39243
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.13833
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.22914
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.35788
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.040021
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.24468
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.467824
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.684803
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.917913
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.16898
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.440105
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.760166
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.159192
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.603745
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.100022
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.662265
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.33529
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.04497
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.88924
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.8263
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71696
 (324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.95002
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.41142
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.17083
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.27307
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.03945
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.036678
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.24109
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.453932
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.669906
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.901898
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.151718
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.42145
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.756886
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.155972
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.600151
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.095427
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.6698
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.33137
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.05073
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.88716
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.82839
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.73058
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.96601
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.43058
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.19402
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.31786
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.07603
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.033359
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.239572
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.440196
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.655175
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.886065
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.134656
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.403016
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.753536
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.152658
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.596457
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.090724
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.677094
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32734
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.06546
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.88498
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.83041
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74422
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.98211
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.44975
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.21733
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.36356
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.11283
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.030066
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.226877
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.426615
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.640614
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.870418
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.117799
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.390645
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.750464
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.149253
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.592659
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.085915
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.684149
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.3232
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.0799
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.88269
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.83236
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.75796
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99827
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.46906
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.24079
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.41013
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.14986
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.061758
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.214323
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.413187
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.626223
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.854954
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.10114
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.387455
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.747312
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.145755
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.588433
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.088334
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.690959
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.31895
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.08112
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.88089
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.83424
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.88745
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.01453
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.48847
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.26437
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.44528
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.18712
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.107227
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.201913
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.399915
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.611998
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.839673
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.084683
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.384195
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.744076
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.142167
‹(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.583957
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.094093
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.694434
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.31662
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.07894
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.90623
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.83605
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.89256
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.03087
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50797
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.28807
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.4747
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.22458
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.154123
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.204231
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.386801
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.597944
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.824578
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.068429
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.381141
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.740757
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.138489
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.579389
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.099631
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.690496
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32828
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.07667
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.93126
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.83779
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.89761
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.04725
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.52754
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.31192
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.50427
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.26229
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.237716
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.253365
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.37384
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.584059
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.809665
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.052373
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.378061
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.73736
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.13472
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.574728
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.104949
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.686461
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.33967
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.07431
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.93554
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.84976
›(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.90262
(324.17, 7.18, 396.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.06376
