¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
œ (416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.93478
(416.61, 13.21, 329.43) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.31364
(416.61, 13.21, 329.43) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.566723
(416.61, 13.21, 329.43) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.572577
(416.61, 13.21, 329.43) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.579423
(416.61, 13.21, 329.43) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.587269
(416.61, 13.21, 329.43) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.646833
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.161079
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.091265
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.042765
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.022509
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.003547
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.005341
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.026258
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.048491
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.094101
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.160337
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.228904
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.353235
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.489677
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.750143
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60454
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.86003
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.50982
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.2259
(416.61, 13.21, 329.43) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 17.66571
(416.61, 13.21, 329.43) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 17.61059
(416.61, 13.21, 329.43) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 17.55842
(416.61, 13.21, 329.43) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 17.50917
(416.61, 13.21, 329.43) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.45152
(416.61, 13.21, 329.43) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.48472
™ (416.61, 13.21, 329.43) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.52126
(416.61, 13.21, 329.43) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.56113
(416.61, 13.21, 329.43) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.632218
(416.61, 13.21, 329.43) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.638479
(416.61, 13.21, 329.43) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.645744
(416.61, 13.21, 329.43) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.65402
(416.61, 13.21, 329.43) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.663312
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.243864
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.172926
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.114182
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.093797
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.074717
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.06981
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.091246
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.114012
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.153976
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.221338
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.291072
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.409054
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.547446
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.795163
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65237
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.86378
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33056
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.02842
(416.61, 13.21, 329.43) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 17.43532
(416.61, 13.21, 329.43) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 17.43439
(416.61, 13.21, 329.43) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 17.43607
(416.61, 13.21, 329.43) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 17.44035
(416.61, 13.21, 329.43) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.61924
(416.61, 13.21, 329.43) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.65315
(416.61, 13.21, 329.43) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.699903
(416.61, 13.21, 329.43) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.706591
(416.61, 13.21, 329.43) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.714295
(416.61, 13.21, 329.43) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.723024
(416.61, 13.21, 329.43) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.73278
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.32975
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.257632
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.188096
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.167578
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.148374
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.136434
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.15841
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.181731
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.215783
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.28432
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.355267
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.466613
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.607031
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.8415
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70225
‹ (416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91529
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.15698
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.83744
(416.61, 13.21, 329.43) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 17.47288
(416.61, 13.21, 329.43) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 17.49008
(416.61, 13.21, 329.43) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 17.50994
(416.61, 13.21, 329.43) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 17.53246
(416.61, 13.21, 329.43) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 6.769857
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.732527
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.149822
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.797542
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.56696
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.418858
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.34551
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.274653
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.243938
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.22461
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.206594
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.227821
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.251723
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.279577
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.349338
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.421549
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.525959
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.66848
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.889178
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75424
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96898
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.19271
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.65276
(416.61, 13.21, 329.43) (405.55, 10.06, 299.57) (1.04, 0.61, 1.05) Tools 18.19437
(416.61, 13.21, 329.43) (405.55, 10.06, 299.57) (1.04, 0.61, 1.05) Tools 18.19755
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.328575
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.705913
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.120466
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.986561
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.682803
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.518482
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.436693
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.364593
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.322979
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.303521
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.28539
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.299557
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.324067
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.349972
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.416457
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.489985
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.587141
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.731849
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.93823
ı(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 9.47373
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0249
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25047
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48563
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.304152
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.679141
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.09097
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.529545
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.803632
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.635187
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.531322
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.45792
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.404797
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.385208
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.366955
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.373695
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.398842
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.425399
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.485744
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.560646
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.650212
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.797193
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.98868
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 9.425057
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10513
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33688
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.62633
(416.61, 13.21, 329.43) (403.02, 10.55, 298.23) (1.19, 1.67, 1.17) Tools 21.12168
(416.61, 13.21, 329.43) (403.02, 10.55, 298.23) (1.19, 1.67, 1.17) Tools 21.23063
(416.61, 13.21, 329.43) (403.02, 10.55, 298.23) (1.19, 1.67, 1.17) Tools 21.15912
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.27957
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.652138
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.061239
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.486242
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.929715
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.756915
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.629547
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.554782
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.4895
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.469775
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.451401
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.450322
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.476132
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.503373
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.557269
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.633599
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.715227
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.864567
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 9.04056
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 9.376516
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.199
„ (416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48216
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.78845
(416.61, 13.21, 329.43) (403.02, 10.55, 298.23) (1.19, 1.67, 1.17) Tools 21.1361
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.254816
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.625017
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.031365
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.454351
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 9.131358
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.883939
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.731532
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.655341
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.581738
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.55734
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.538839
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.529526
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.556031
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.583987
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.631108
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.708927
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.789487
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.934033
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 9.093905
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 9.414382
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3443
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.64273
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95611
(416.61, 13.21, 329.43) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 7.990804
(416.61, 13.21, 329.43) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 7.960158
(416.61, 13.21, 329.43) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 7.930926
(416.61, 13.21, 329.43) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 7.903084
(416.61, 13.21, 329.43) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 7.876608
(416.61, 13.21, 329.43) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 7.851475
(416.61, 13.21, 329.43) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 7.827669
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.759761
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.684713
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.64802
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.629391
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.612123
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.638633
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.667336
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.707335
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.786708
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.868877
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 9.005658
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 9.16687
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21249
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.50339
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80879
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.1296
(416.61, 13.21, 329.43) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 7.948981
