¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ˆ(350.73, 8.74, 314.06) (317.06, 0.43, 303.65) (1.40, 1.43, 1.36) Tools 22.77428
(350.73, 8.74, 314.06) (317.06, 0.43, 303.65) (1.40, 1.43, 1.36) Tools 22.47161
(350.73, 8.74, 314.06) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 22.43481
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.029036
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.154755
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.289232
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.840782
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.009922
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.192092
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.388844
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.601978
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.833589
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.086057
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.362419
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.666108
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.001322
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.373226
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.788058
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.159822
€(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.566772
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.017925
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.512803
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.930433
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38798
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89143
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72913
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.72936
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.08808
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.87249
(350.73, 8.74, 314.06) (317.06, 0.43, 303.65) (1.40, 1.43, 1.36) Tools 22.39118
(350.73, 8.74, 314.06) (317.06, 0.43, 303.65) (1.40, 1.43, 1.36) Tools 22.34463
(350.73, 8.74, 314.06) (317.06, 0.43, 303.65) (1.40, 1.43, 1.36) Tools 22.3016
(350.73, 8.74, 314.06) (317.06, 0.43, 303.65) (1.40, 1.43, 1.36) Tools 22.26206
(350.73, 8.74, 314.06) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 22.22596
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.011443
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.135968
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.269129
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.41183
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.984585
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.164812
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.359381
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.570017
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.798813
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.048106
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.32086
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.620384
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.950786
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.317032
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.72525
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.130432
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.534367
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.981952
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.461624
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.874541
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32681
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82413
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48621
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43573
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.74803
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.42077
(350.73, 8.74, 314.06) (317.06, 0.43, 303.65) (1.40, 1.43, 1.36) Tools 22.1865
(350.73, 8.74, 314.06) (317.06, 0.43, 303.65) (1.40, 1.43, 1.36) Tools 22.14075
(350.73, 8.74, 314.06) (317.06, 0.43, 303.65) (1.40, 1.43, 1.36) Tools 22.09846
(350.73, 8.74, 314.06) (317.06, 0.43, 303.65) (1.40, 1.43, 1.36) Tools 22.05963
(350.73, 8.74, 314.06) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 22.02422
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.994059
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.11741
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.249276
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.390546
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.959621
„(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.137925
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.330294
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.538519
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.764571
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.010806
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.279943
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.575412
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.901083
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.261831
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.663619
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.101685
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.502633
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.946754
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.411777
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.820159
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26724
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75865
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30122
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15324
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.42155
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.9895
(350.73, 8.74, 314.06) (317.06, 0.43, 303.65) (1.40, 1.43, 1.36) Tools 22.03854
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.9534
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.91182
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.87365
(350.73, 8.74, 314.06) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 22.19821
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.976882
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.099078
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.229673
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.369537
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.934984
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.111341
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.30164
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.507473
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.730847
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.974015
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.23973
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.531156
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.852236
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.207683
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.603191
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.045868
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.471579
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.912309
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.363184
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.767206
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20931
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69495
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23089
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84032
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.10791
ü(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.57742
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.80738
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.76307
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.72218
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.68467
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.65051
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.959912
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.080972
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.210317
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.3488
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.910655
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.085189
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.273377
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.476874
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.697639
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.937841
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.200104
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.48769
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.804293
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.154469
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.543895
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.97937
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.441218
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.878652
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.315856
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.715684
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1529
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.633
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13726
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27149
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.8064
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.18334
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.62283
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.57921
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.53897
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.50209
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.46853
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.943146
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.063091
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.191207
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.328334
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.88669
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.059371
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.245523
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.446761
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.664879
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.90217
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.161172
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.444924
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.757156
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.102279
‚(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.485702
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.914199
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.396033
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.84579
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.269766
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.665451
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09804
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54763
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03347
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7442
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.5164
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.80619
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.44458
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.40162
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.36201
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.32573
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.29274
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.926586
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.045434
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.172343
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.308137
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.863
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.033899
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.218073
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.417035
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.63269
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.867132
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.122859
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.402897
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.710835
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.051015
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.428678
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.850298
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.324026
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.813626
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.224907
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.616636
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01987
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45561
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93267
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15141
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.23728
(350.73, 8.74, 314.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.44493
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.27239
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.23007
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.26193
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.30488
(350.73, 8.74, 314.06) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 21.35119
