¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(323.94, 7.70, 372.33) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 13.32591
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.234418
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.454924
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.69265
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.949575
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.228204
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.530277
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.851644
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.202994
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.572672
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.899783
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.25424
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.639584
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02359
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40216
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81211
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25748
(323.94, 7.70, 372.33) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.65255
¥(323.94, 7.70, 372.33) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.63241
(323.94, 7.70, 372.33) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.61408
(323.94, 7.70, 372.33) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.60167
(323.94, 7.70, 372.33) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.05278
(323.94, 7.70, 372.33) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 13.78284
(323.94, 7.70, 372.33) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 13.77085
(323.94, 7.70, 372.33) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 13.76093
(323.94, 7.70, 372.33) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 13.75308
(323.94, 7.70, 372.33) (355.66, 0.82, 381.51) (1.18, 1.64, 1.19) Tools 19.16792
(323.94, 7.70, 372.33) (355.66, 0.82, 381.51) (1.18, 1.64, 1.19) Tools 19.27698
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.491169
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.658267
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.836777
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.027854
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.232817
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.453173
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.690754
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.947569
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.225993
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.52616
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.847165
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.198093
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.583156
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.926787
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.283519
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.671429
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03779
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4175
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82875
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27556
(323.94, 7.70, 372.33) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.68915
(323.94, 7.70, 372.33) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.66893
(323.94, 7.70, 372.33) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.65052
(323.94, 7.70, 372.33) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.6339
(323.94, 7.70, 372.33) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.04164
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.02063
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.489983
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.657031
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.835477
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.026439
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.231277
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.451555
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.689011
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.945667
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.223937
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.522239
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.842923
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.193396
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.578068
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.954433
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.313459
›(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.7002
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05288
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43375
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84635
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29462
(323.94, 7.70, 372.33) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.72775
(323.94, 7.70, 372.33) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.70745
(323.94, 7.70, 372.33) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.68895
(323.94, 7.70, 372.33) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.67226
(323.94, 7.70, 372.33) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.03131
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.99715
(323.94, 7.70, 372.33) (355.66, 0.82, 381.51) (1.18, 1.64, 1.19) Tools 19.2154
(323.94, 7.70, 372.33) (355.66, 0.82, 381.51) (1.18, 1.64, 1.19) Tools 19.32472
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.488927
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.655912
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.834258
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.025123
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.229884
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.450039
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.687373
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.943893
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.222002
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.518545
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.838894
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.189001
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.573191
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.982793
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.344242
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.714985
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06876
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45094
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86492
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30028
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74339
(323.94, 7.70, 372.33) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.74798
(323.94, 7.70, 372.33) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.7294
(323.94, 7.70, 372.33) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.71263
(323.94, 7.70, 372.33) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.02178
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.9755
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.487969
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.654854
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.833135
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.023932
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.228608
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.448673
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.685874
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.942312
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.220278
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.515038
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.835049
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.184812
–(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.568591
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.991574
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.375763
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.730532
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08553
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46902
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84529
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25108
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69016
(323.94, 7.70, 372.33) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 14.02892
(323.94, 7.70, 372.33) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 14.00526
(323.94, 7.70, 372.33) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 14.04137
(323.94, 7.70, 372.33) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 15.01407
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.9557
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.487094
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.653926
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.832123
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.022875
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.227455
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.447416
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.684535
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.940842
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.218117
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.511745
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.831461
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.180876
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.564263
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.986752
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.40801
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.746895
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08148
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42806
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.801
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20331
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63856
(323.94, 7.70, 372.33) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 13.83259
(323.94, 7.70, 372.33) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 13.80939
(323.94, 7.70, 372.33) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 13.88137
(323.94, 7.70, 372.33) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 15.00419
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.93773
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.486279
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.653076
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.831231
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.021902
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.226401
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.446276
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.683317
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.939524
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.215266
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.508637
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.828096
”(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.177159
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.560204
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.982302
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.424423
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.7237
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04415
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38805
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75803
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15701
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58854
(323.94, 7.70, 372.33) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 13.64369
(323.94, 7.70, 372.33) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 13.62092
(323.94, 7.70, 372.33) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 13.72677
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.01471
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.92158
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.485583
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.652316
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.830432
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.02102
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.225471
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.4453
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.682242
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.938339
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.212607
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.505726
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.824913
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.173716
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.556402
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.979527
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.395243
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.689838
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00798
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3493
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71635
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11211
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70131
(323.94, 7.70, 372.33) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 13.46188
(323.94, 7.70, 372.33) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 13.43952
(323.94, 7.70, 372.33) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 13.57736
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.00366
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.90726
(323.94, 7.70, 372.33) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 24.78048
(323.94, 7.70, 372.33) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 24.76512
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.484953
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.651647
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.829712
(323.94, 7.70, 372.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.020277
