¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ö(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.273519
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.840225
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.77052
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.21107
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.69011
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.30193
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.491497
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.726511
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.980285
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.255094
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.551877
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.866276
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.042096
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.025238
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.037427
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.050859
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.07738
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.133697
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.192035
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.279701
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.397743
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.550488
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.786604
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.69993
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.13632
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.60028
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.0943
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.486577
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.721227
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.974565
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.2489
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.54457
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.858292
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.962556
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.954293
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.966041
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.979017
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.012399
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.06763
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.12485
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.219764
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.335952
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.501188
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.735907
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.63153
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.06401
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.5236
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.01291
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.481648
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.715906
â(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.968818
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.242637
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.537268
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.850355
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.88575
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.885647
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.896973
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.909515
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.949432
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.003622
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.059768
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.161602
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.276004
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.45323
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.735183
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.5653
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99391
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.44936
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.88221
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.25931
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.98238
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.476689
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.710561
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.963028
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.236364
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.52997
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.842411
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.895805
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.867672
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.840906
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.84227
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.888416
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.941606
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.996719
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.105162
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.217846
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.406581
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.734573
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.50115
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.92609
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.37752
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.74353
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.12396
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.83988
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.2318
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.47169
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.705175
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.957242
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.230086
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.522644
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.834477
á(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.174515
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.997316
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.970084
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.944218
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.919698
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.896504
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.943526
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.050405
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.16143
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.361217
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.734081
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43911
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.86051
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.25347
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.6091
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.9832
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.23647
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.52026
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.81524
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.466711
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.699818
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.951404
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.223767
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.51537
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.826524
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.165855
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.523115
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.907598
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.325066
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.619081
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.029922
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.007641
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.997278
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.106854
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.31711
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.733719
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.37911
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.79574
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.00228
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.98424
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.96804
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.95366
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.12473
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.40807
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.70264
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.461656
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.69438
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.945549
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.217417
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.508072
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.818626
û(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.155906
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.505939
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.888754
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.303163
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.535322
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.46161
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.146477
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.125114
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.105073
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.274236
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.78759
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.76454
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.79656
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.84248
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.86407
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.84722
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.79331
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.70392
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.65387
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.64516
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.456634
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.688938
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.939677
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.211027
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.500832
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.810684
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.140311
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.488921
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.870111
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.281855
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.453891
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.37318
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.264675
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.269703
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.249277
(427.92, 15.10, 247.45) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.23257
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.62437
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.77984
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.86628
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.91705
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.94233
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.92535
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.87382
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.78653
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.63757
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.3831
(427.92, 15.10, 247.45) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.37633
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.451571
(427.92, 15.10, 247.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.683494
