¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ğ(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02471
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.662316
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.068832
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.539082
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.963167
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35731
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87548
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40667
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99029
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62598
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22631
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.83778
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 15.10656
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 15.26163
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 15.32002
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 15.28848
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 15.1471
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.83476
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.43987
(411.41, 14.49, 245.85) (439.09, 8.60, 236.65) (2.32, 1.85, 2.92) Tools 16.75867
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 17.05682
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 17.15541
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 17.13082
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 16.97765
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 16.65507
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.569655
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.810419
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.070594
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.340293
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.631985
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.949054
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.294888
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.660082
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.05677
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.525653
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.954935
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3484
ì(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89569
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42639
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98236
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.623
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.27658
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 15.06078
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 15.36835
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 15.54988
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 15.63362
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 15.62131
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 15.49495
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 15.17984
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.33774
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.3295
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 17.40826
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 17.51772
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 17.49524
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 14.83321
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 14.83576
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.567823
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.808453
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.068464
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.338363
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.629889
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.946762
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.292393
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.657841
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.051342
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.512272
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.947132
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35947
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91609
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44664
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9902
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6208
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.32772
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.24815
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 15.63196
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 15.85136
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 15.96267
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 15.97145
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 15.86177
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 15.57612
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.23915
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.23096
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 14.7368
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 14.73274
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 14.73087
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 14.7312
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 14.90396
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.565975
Ù(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.806451
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.066289
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.336431
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.627774
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.944468
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.289893
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.655657
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.04897
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.498857
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.939721
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37801
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93674
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46743
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01308
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61941
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37969
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.20791
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 15.90667
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 16.16694
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 16.30826
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 16.34022
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 16.24909
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 15.97956
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.144
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.41152
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 14.96484
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 14.90913
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 14.94068
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 15.03116
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 15.24734
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.564087
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.804388
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.064065
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.334486
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.625676
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.942166
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.287388
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.653513
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.046628
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.48543
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.932717
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39676
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95762
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48875
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03654
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65873
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43254
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15458
