¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¬(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.267622
À(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.413469
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.77188
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.16798
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.610318
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.102112
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.663876
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.28832
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.03343
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.98856
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.05779
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.3457
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.3143
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.53727
(375.17, 14.41, 299.94) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 22.03193
(375.17, 14.41, 299.94) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 22.01621
(375.17, 14.41, 299.94) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 22.00379
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.959911
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.110142
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.267641
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.435322
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.619228
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.816915
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.02995
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.257871
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.502892
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.773996
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.069789
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.393812
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.750224
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.144006
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.58343
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.072007
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.627488
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.24874
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.97989
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.92987
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.98995
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.37174
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.18409
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.39915
(375.17, 14.41, 299.94) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 22.11197
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.951067
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.100715
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.257891
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.42487
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.608015
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.804855
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.016946
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.244282
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.488046
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.757839
·(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.052141
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.374449
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.728897
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.120403
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.556968
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.042388
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.591646
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.20984
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.92711
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.8675
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.92325
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.27806
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.05627
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.26393
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.9579
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.942338
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.091409
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.248288
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.414559
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.596955
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.792961
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.004124
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.230906
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.473414
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.741919
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.034755
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.355377
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.707898
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.09717
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.53089
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.013248
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.556342
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.17161
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8751
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.80608
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.85768
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.18602
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.93078
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.13158
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.76779
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.933723
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.082228
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.238832
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.404392
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.586048
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.781236
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.991484
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.217744
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.458998
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.726235
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.017631
Ö(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.336597
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.687224
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.074304
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.505074
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.984593
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.522634
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.13404
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.82581
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.7456
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77435
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.08658
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.59402
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.64309
(375.17, 14.41, 299.94) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 20.88498
(375.17, 14.41, 299.94) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 20.91892
(375.17, 14.41, 299.94) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 20.9561
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.925225
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.07317
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.229524
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.394364
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.575295
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.769676
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.979026
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.204797
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.444794
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.710786
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.000768
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.318107
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.666877
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.051803
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.479671
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.95641
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.490919
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.09713
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.78053
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.68604
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68926
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86379
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.25767
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.78713
(375.17, 14.41, 299.94) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 20.73493
(375.17, 14.41, 299.94) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 20.76829
(375.17, 14.41, 299.94) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 20.80487
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.916841
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.064237
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.220363
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.384479
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.564695
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.758284
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.966747
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.191832
ß(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.430806
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.695574
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.984165
