¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¿(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.89517
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.10731
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.48746
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.44115
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.21077
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.18007
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.15232
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.63809
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.61561
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.59608
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.57952
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.63261
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.46821
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.19503
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.43575
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.60544
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.7811
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.97209
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.963208
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.400387
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.906791
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.490106
µ(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.18357
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.92545
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.29833
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.96013
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.35593
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.43055
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.1753
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.57121
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.51833
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.30417
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.27338
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.24556
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.73376
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.61943
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.69168
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.6751
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.66149
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.69494
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.37179
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.61551
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.78851
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.97035
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.968064
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.405601
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.913343
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.497651
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.19263
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.93534
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.30895
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.99267
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.49094
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.48153
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.24141
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.68425
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.6342
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.40135
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.37048
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.34258
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.83332
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.40245
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.79115
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.77456
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.76094
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.75029
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.55471
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.80145
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.9779
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.16893
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.972395
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.410152
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.91905
²(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.504272
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.2004
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.94555
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.31991
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.02523
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.67416
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.53068
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.30557
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.36235
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.76697
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.50242
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.47145
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.44348
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.93685
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.91422
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.8946
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.44774
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.86437
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.85373
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.74402
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.84136
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.83962
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.34505
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.976203
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.414037
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.923901
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.509959
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.20687
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.95609
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.33122
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.05782
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.85594
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.57798
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.40043
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.44597
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.97739
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.94271
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.22467
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.6504
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.04444
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.02176
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.00212
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.5436
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.97187
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.96125
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.95361
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.94896
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.94728
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.94858
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.979487
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.417256
‹(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.927907
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.514716
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.21204
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.96694
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.34287
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.09041
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.02117
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.62337
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.461
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.51423
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.37565
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 21.11995
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.1138
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.09716
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.04247
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.07293
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.06532
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.06072
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.05911
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.0605
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.982241
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.419805
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.931052
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.518535
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.2159
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.97812
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.35487
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.12302
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.12567
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.68551
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.51974
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.57709
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.01022
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 21.64116
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.89749
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.87715
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.21309
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.00576
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.18888
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.18131
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.17676
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.17522
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.256
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.984465
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.42168
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.933338
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.521412
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.21845
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.98961
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.36721
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.15563
î(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.22782
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.7956
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.57659
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.63801
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.78998
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 21.04527
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 21.02171
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 21.00133
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.97717
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.02641
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.04909
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.07748
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.16228
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.55747
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.986158
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.422887
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.934764
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.523345
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.21968
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.00143
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.3799
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.18824
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.03963
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.83945
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.63151
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.69704
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.86444
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 21.15056
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 21.13014
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.987321
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.423416
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.935329
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.524335
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.2196
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.01357
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.41393
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.22084
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.06987
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.88142
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.76013
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.75406
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.93759
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 21.26372
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.987951
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.423268
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.935032
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.524379
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.2182
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.02603
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.45358
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.30952
«(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.09792
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.92147
