¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¾ (409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 9.979362
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.769994
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.242677
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.783419
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.393
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0531
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.17182
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.15719
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.14411
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.13258
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.12258
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.11411
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.10716
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.10172
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.0978
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.09539
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.608815
ï(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.95147
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.327713
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.742701
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.211779
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.748712
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35368
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0161
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75299
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.25076
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.23771
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.22622
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.21628
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.20788
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.20101
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.19568
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.588266
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.928901
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.302882
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.715225
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.180625
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.713673
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31407
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97877
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71036
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4849
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12718
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.93259
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.92213
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 10.91332
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.83217
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.89998
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.567518
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.906169
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.277855
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.687534
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.149209
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.678334
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27412
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94113
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66742
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.499
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16603
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.0388
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.02841
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.01968
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.12257
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.37463
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.546651
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.883279
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.252646
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.659676
ù(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.117521
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.642763
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23388
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90391
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62412
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44916
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2046
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.14872
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.13841
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.12978
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.12282
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.65395
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.11687
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.525218
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.860239
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.227287
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.631669
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.085556
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.606945
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19338
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85781
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58403
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39904
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.49582
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.2625
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.25227
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.24375
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.23691
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.85927
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.04411
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.81862
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.500497
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.83703
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.201738
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.603454
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.053393
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.570801
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15259
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81139
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.47228
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.45689
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.44325
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.43135
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.37016
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.36174
(409.93, 12.57, 332.33) (426.17, 11.69, 304.81) (8.74, 8.42, 13.47) Truck 11.35503
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.7127
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.45173
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.45164
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.45475
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.475699
¶(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.813684
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.176075
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.575067
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.020988
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.534472
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11156
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76472
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51021
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31306
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.27713
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26378
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.6469
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.96518
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.29743
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.64453
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.00738
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.86787
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.87788
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.450737
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.790189
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.150265
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.54657
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.988393
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.497916
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07031
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71778
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47278
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27011
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28117
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26848
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.31066
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.9043
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.23427
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.57895
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.93924
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.3161
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.27146
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.50991
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.42563
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.764519
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.124296
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.517919
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.955564
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.461152
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02886
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67069
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.435
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22676
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28468
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27252
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.80001
¶(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.7851
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.1158
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.46132
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.82259
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.20058
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.74834
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.72161
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.12392
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.400427
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.736855
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.098223
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.489135
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.922553
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.424196
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.98718
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62337
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3792
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1831
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23576
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27587
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.71643
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.58856
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.97359
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.31364
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.66908
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.04093
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.43019
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.26468
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.29093
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.375065
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.709053
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.072002
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.460239
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.889377
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.387031
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.945329
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57587
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.322
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13908
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16638
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27857
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.63482
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.15543
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.77369
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.17028
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.52013
(409.93, 12.57, 332.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.88601
