¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ü(432.15, 14.96, 248.02) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 13.1051
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30483
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15652
(432.15, 14.96, 248.02) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 13.14606
(432.15, 14.96, 248.02) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 13.11669
(432.15, 14.96, 248.02) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 13.08939
(432.15, 14.96, 248.02) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 13.06416
(432.15, 14.96, 248.02) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 13.04097
(432.15, 14.96, 248.02) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 13.0198
(432.15, 14.96, 248.02) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 13.00063
(432.15, 14.96, 248.02) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 12.98345
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.586102
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.825047
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.082496
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.356238
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.660476
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.000745
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.373885
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.784973
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.239935
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.74614
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29399
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87716
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53194
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27252
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13066
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96586
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.08645
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.31643
¸(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.59352
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.36195
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.14631
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.21231
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.583107
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.82179
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.07714
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.350439
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.654354
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.993997
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.366489
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.776836
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.230888
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.736012
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26745
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85201
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50359
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24035
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06662
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88614
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.97422
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.20037
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.43847
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.13409
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.95687
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.9451
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.580057
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.818543
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.071756
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.344604
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.648152
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.987204
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.359039
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.768568
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.221732
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.72582
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24098
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82698
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47537
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20834
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99721
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80758
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86342
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.08647
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.28633
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.91222
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.77162
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.7312
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.576989
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.814439
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.066362
´(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.338791
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.64187
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.980317
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.351501
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.760217
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.212462
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.710432
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21458
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80204
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44728
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17646
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93533
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73024
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.7541
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.9747
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13706
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.69619
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.50444
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.5304
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.573874
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.809459
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.060982
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.332949
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.635508
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.973391
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.343866
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.751795
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.203142
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.6876
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1883
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77721
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41933
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14476
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87452
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65403
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.64618
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.86497
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.9906
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.48577
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.12967
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.3485
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.570723
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.804433
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.055571
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.327095
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.629136
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.966379
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.336172
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.743323
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.193703
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.664892
µ(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16208
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75029
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3915
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1132
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81456
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57894
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.53968
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.67432
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86151
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.32499
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.7682
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.00031
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.566869
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.799407
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.05017
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.321211
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.622638
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.959315
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.328363
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.734706
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.184165
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.642385
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13631
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72095
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3638
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08184
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75551
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50597
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43458
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.49771
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.7403
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.15224
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.50259
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.66378
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.562204
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.794402
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.044733
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.315355
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.616126
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.952174
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.320523
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.726044
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.174566
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.619944
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1115
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69173
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33625
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03367
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69735
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44061
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3309
¸(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.35229
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.62146
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.97939
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.27605
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.93056
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.557533
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.789386
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.039323
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.309463
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.609547
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.944942
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.312607
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.717315
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.15514
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.597706
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08682
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66266
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30884
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98229
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64003
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37629
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2286
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.21025
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.49985
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.81043
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.07754
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.60204
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.552845
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.784357
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.033856
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.303593
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.602856
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.937669
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.304631
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.708472
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.13505
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.575588
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06234
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6337
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28091
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93165
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58357
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31295
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13937
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.07135
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.27522
