¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ì(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.865754
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.457169
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.690613
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.895689
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.09515
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.305161
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.526548
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.760218
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00718
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26853
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.81675
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.49011
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.67993
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.705024
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.891656
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.09185
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.307103
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.811507
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.940576
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.075678
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.217271
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.365732
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.521615
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.685387
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.857647
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.039038
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.230293
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.436544
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.670952
‚(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.93239
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.164587
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.377979
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.603019
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.840629
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09182
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35775
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.39601
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.90741
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.03018
(338.94, 6.97, 314.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.86533
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.114442
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.308089
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.500086
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.71966
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.96094
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.221306
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.503076
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.808937
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.142064
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.534376
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.010811
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.545094
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14384
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95577
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92727
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08774
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33085
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.50097
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.80824
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.334
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.16775
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.41283
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.109208
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.303092
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.495611
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.719793
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.961056
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.22147
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.503273
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.809119
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.142272
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.55079
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.029166
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.56576
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18722
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01316
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00419
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18288
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.37127
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.54838
…(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.84794
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.38135
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.22514
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.4838
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.104063
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.298253
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.495781
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.720001
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.961311
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.221698
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.503515
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.80942
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.142594
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.567081
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.040797
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.571481
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21182
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03555
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08157
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.27646
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41201
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.58702
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.88811
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.42926
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.28323
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.55568
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.098982
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.292948
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.496077
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.720281
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.961644
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.222073
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.496761
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.79424
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.130266
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.562346
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.035509
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.565534
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23065
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05762
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1594
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37068
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.45306
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.62158
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.9288
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.47775
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.34209
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.62857
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.093955
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.287572
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.490953
„(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.708937
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.943133
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.19537
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.467763
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.762822
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.122408
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.55756
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.030149
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.559504
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24916
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07929
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23764
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43801
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49444
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.65652
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.96993
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.52686
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.40167
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.70245
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.09164
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.276881
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.46966
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.686072
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.918553
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.168886
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.43912
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.731799
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.114135
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.552744
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.02474
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.553447
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26736
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10063
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31625
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47499
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.53613
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.69189
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.01149
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.57653
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.46199
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.77724
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.090299
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.262492
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.448545
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.663471
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.894216
(338.58, 7.04, 315.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.142679
