¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
•(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 20.79889
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.22311
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 20.79225
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 20.79777
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 22.29325
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 22.30955
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 22.32922
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 22.35226
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.687652
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.834265
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.006186
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.218444
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.427283
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.615827
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.866632
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.140078
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.373253
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.713483
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.009672
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.399943
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.754193
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.241809
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.687999
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.31426
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.95508
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.79262
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.78261
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.1165
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.2834
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.21573
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 20.94105
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 20.94675
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 22.39467
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 22.41114
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 22.43099
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 22.45422
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.686885
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.833455
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.999029
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.210742
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.422614
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.610862
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.853779
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.129369
ö(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.361795
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.694499
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.990263
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.374388
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.724648
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.206645
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.64443
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.25554
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8919
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.71668
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.68702
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.99983
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.04939
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 21.13752
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 21.13713
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 21.09514
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 21.10105
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 22.50039
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 22.51703
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 22.53707
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 22.56051
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.686306
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.832843
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.991942
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.203115
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.418197
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.606164
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.841016
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.11899
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.350696
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.675692
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.971294
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.349099
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.695721
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.171125
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.601363
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.19794
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.82958
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.6418
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.59285
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.88508
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.82021
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.68838
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 22.62732
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 22.64756
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 22.67122
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.685918
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.832433
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.987614
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.195561
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.414032
­(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.601735
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.828346
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.108945
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.339953
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.657064
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.952765
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.324076
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.667401
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.132482
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.558799
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.14143
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.76408
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.56797
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.50009
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.76534
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.54562
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.45494
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.685721
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.832225
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.987393
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.188082
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.410115
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.597572
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.815763
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.099231
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.329563
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.638614
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.934675
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.299319
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.639687
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.094595
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.516733
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.08601
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.69869
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.49518
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.40872
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.64149
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.35615
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.21521
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.685715
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.832218
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.987387
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.180679
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.406451
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.593677
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.803277
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.089847
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.319528
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.620345
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.917018
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.274834
¨(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.612573
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.057456
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.475169
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.03165
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.63449
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.42343
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.31872
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.52015
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.21702
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.80445
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.685699
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.83241
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.987591
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.173352
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.398607
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.590046
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.790883
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.080722
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.309844
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.602254
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.899793
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.250609
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.586051
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.021053
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.434098
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.978342
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.57144
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.3527
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.23008
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.40126
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.08016
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.40635
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.681101
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.832805
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.988009
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.166101
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.390787
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.586683
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.785769
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.067307
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.300511
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.584346
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.882998
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.226656
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.560117
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.985381
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.393524
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.926066
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50954
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.28298
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.14277
¸(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.28475
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.92759
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.03742
