¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
°(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15447
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.569949
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.017643
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.505424
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.05058
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.70011
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.41286
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.21139
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.12514
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.13299
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.55537
›(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.98833
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.72136
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.43876
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.15256
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.99877
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.9471
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.185354
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.405912
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.643807
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.898055
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.174166
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.476381
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.806395
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.168163
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.57219
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.019228
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.50719
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.05256
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.70955
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.42363
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.21653
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.1311
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.2001
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.54806
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.00713
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.78058
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.90162
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.64931
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.59753
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.18576
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.406349
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.644001
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.898061
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.174288
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.476513
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.806539
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.168323
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.574353
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.020786
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.508928
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.05451
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.71894
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.43433
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.22164
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.13702
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.20358
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.49635
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.02662
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.84023
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.38822
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.25584
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.10323
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.186148
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.406765
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.643994
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.898055
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.174387
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.476623
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.806659
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.168451
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.576437
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.022315
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.510632
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.05642
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72826
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.44497
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.22671
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.14288
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.20696
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.51006
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.04911
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.90029
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.90032
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.75587
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.186513
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.40716
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.643976
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.898035
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.174465
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.476706
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.806749
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.168552
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.578438
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.023816
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.512303
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.06769
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.73752
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.45553
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.23174
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.14871
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.21025
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.52363
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.06539
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.77957
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.42336
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.27337
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.186863
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.407537
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.643948
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.898005
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.17452
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.476766
ñ(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.806817
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.168625
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.580361
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.025288
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.513944
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07896
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.74672
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.46603
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.23673
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.15448
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.21344
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.53706
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.08182
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.80096
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.16731
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.51646
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.187192
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.40789
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.643909
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.897963
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.174553
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.476804
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.806856
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.16867
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.582203
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.026731
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.515553
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.08997
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.75585
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.47645
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.24167
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.16021
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.21653
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.55034
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.09839
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.82239
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.19036
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.86913
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.187501
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.408224
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.643858
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.897907
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.174565
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.476818
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.80687
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.169171
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.583962
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.028144
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.517126
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.10071
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.76491
í(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.48679
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.24658
