¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ü(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.68541
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.502565
(331.29, 7.47, 368.29) (328.62, 2.56, 346.07) (2.10, 0.13, 2.78) Cabin 7.449597
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.135474
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.341233
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.562304
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.800386
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.057603
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.323027
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.610613
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.835216
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.809653
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.785414
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.762481
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.740835
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.720457
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.701334
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.683448
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.666787
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.651338
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.63709
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.624029
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.612147
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.601435
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.591885
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.583489
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.576242
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.570137
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.56517
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.561337
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.558637
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.557066
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.556623
(331.29, 7.47, 368.29) (328.62, 2.56, 346.07) (2.10, 0.13, 2.78) Cabin 7.503271
Ì(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.136383
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.342229
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.563369
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.801529
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.056859
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.32411
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.61208
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.89333
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.867574
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.843153
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.820046
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.798237
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.777704
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.758437
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.740416
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.723628
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.708063
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.693703
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.680544
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.668572
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.657779
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.648155
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.639693
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.63239
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.626237
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.621231
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.617367
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.614644
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.613058
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.612609
(331.29, 7.47, 368.29) (328.62, 2.56, 346.07) (2.10, 0.13, 2.78) Cabin 7.558859
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.137335
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.343217
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.564443
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.802672
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.056444
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.325567
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.61365
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.926561
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.927554
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.902944
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.879658
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.857678
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.836988
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.817569
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.799408
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.78249
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.766802
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.752333
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.739069
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.727002
Ç(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.716124
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.706423
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.697896
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.690533
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.68433
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.679284
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.675388
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.672641
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.67104
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.670585
(331.29, 7.47, 368.29) (328.62, 2.56, 346.07) (2.10, 0.13, 2.78) Cabin 7.616423
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.138287
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.344257
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.565558
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.803894
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.056024
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.327104
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.615307
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.928369
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.989658
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.964852
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.941381
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.919225
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.89837
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.878795
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.86049
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.815782
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.800023
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.785488
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.772164
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.760043
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.749115
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.73937
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.730803
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.723406
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.717174
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.739392
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.735462
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.732691
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.731074
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.730613
(331.29, 7.47, 368.29) (328.62, 2.56, 346.07) (2.10, 0.13, 2.78) Cabin 7.676023
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.1393
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.345329
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.5667
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.804387
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.055744
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.327506
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.617067
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.930288
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.053957
Û(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.028948
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.005283
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.982948
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.96192
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.942186
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.923729
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.878657
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.878295
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.863612
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.850151
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.837905
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.826864
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.817019
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.808362
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.800889
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.79459
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.801622
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.797658
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.794861
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.793229
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.792761
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.73773
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.140319
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.346456
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.567884
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.804141
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.055459
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.327238
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.618931
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.932318
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.120522
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.095303
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.071441
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.048915
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.027711
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.007811
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.989198
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.94375
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.943382
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.928573
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.914999
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.902649
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.891512
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.881583
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.872851
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.865312
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.85896
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.866046
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.862047
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.859223
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.857574
Ç(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.857099
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.80161
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.141377
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.347551
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.569097
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.803939
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.055272
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.326984
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.620881
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.934416
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.189431
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.163993
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.139924
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.117206
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.095818
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.075745
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.05697
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.03948
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.010759
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.995822
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.982128
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.96967
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.958435
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.948419
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.93961
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.932003
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.925594
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.932736
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.928699
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 7.925848
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.924183
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.923699
(331.29, 7.47, 368.29) (328.62, 2.56, 346.07) (2.10, 0.13, 2.78) Cabin 7.867738
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.142435
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.34872
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.570371
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.803815
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.05514
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.326847
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.621538
(331.29, 7.47, 368.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.936625
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.260762
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.235101
(331.29, 7.47, 368.29) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.210818
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.187898
(331.29, 7.47, 368.29) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.16632
