¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ÿ(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.871166
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.355989
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.49536
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.644662
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.803934
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.970694
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.150245
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.344079
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.554304
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.782884
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.027185
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.291786
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.581713
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.902427
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.253771
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.63935
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.069492
’(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.548732
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.084073
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50661
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27393
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16407
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16135
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.31004
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.77596
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.600532
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.691694
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.788173
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.890424
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.998964
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.114365
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.237276
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.368429
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.508653
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.658897
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.817532
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.985293
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.16596
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.361049
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.572905
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.803093
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.047143
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.313576
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.605601
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.929948
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.281645
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.670308
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.104089
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.585413
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.125536
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55221
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32641
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22527
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23453
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4001
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.88052
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.608927
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.700559
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.797546
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.900353
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.009495
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.125555
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.249187
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.381133
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.522231
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.673441
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.831458
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.00025
Œ(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.182063
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.378648
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.591968
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.821959
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.067647
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.33597
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.630845
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.957419
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.310345
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.7022
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.139811
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.623274
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.168354
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59935
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38081
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28866
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3104
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49962
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.98915
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.617488
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.7096
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.807108
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.91048
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.020239
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.136974
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.261345
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.394103
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.536095
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.687671
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.845716
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.015563
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.198556
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.396676
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.6115
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.841304
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.088702
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.358976
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.657184
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.984134
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.339884
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.735037
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.175286
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.662334
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.212556
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64817
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43709
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35433
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38908
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.60277
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.11037
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.626215
ù(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.718818
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.816858
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.92081
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.0312
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.148624
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.273752
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.407341
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.550249
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.701285
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.860307
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.03124
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.215524
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.415135
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.631507
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.861157
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.11032
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.382601
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.684226
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.01161
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.370276
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.76884
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.211124
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.702619
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.257755
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69861
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49535
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.42238
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47066
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70972
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.2426
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.635109
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.728214
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.826799
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.931342
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.042378
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.160508
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.286409
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.420847
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.564694
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.71521
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.875236
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.047284
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.233008
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.434031
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.651094
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.881525
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.132503
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.407648
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.71198
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.039855
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.401535
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.803691
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.248051
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.744146
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.303953
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75072
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55561
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49278
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55518
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.82057
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.37672
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.644171
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.737788
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.83693
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.942078
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.053774
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.172626
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.299318
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.434628
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.579328
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.729451
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.890504
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.063696
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.250897
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.45337
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.670334
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.902415
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.155261
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.433551
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.73918
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.068883
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.433673
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.839538
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.286083
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.786943
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.352232
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.00029
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6179
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56561
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.64267
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.93546
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.51586
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.653403
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.747544
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.847254
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.953021
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.065391
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.18498
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.312482
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.448682
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.592932
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.744008
‰(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.906116
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.080619
(351.42, 8.77, 314.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.269194
