¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
©(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.1988
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.5235
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.34123
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.75461
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.549283
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.814058
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.105563
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.426418
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.775093
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.159032
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.58929
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.062649
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.598037
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.20139
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8761
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.64565
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.52863
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.5216
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.67173
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.02023
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.51713
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.50187
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.76372
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.553181
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.817087
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.109012
¦(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.429438
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.778063
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.161916
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.591475
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.064097
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.600121
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.2021
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.87572
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.6436
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.5255
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.51908
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.66461
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.0166
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.51114
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.4995
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.77221
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.55692
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.820021
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.112269
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.432329
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.780803
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.164646
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.59338
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.065236
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.601942
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.20243
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.87491
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.64105
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.5223
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.51815
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.65865
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.00887
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.50633
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.48013
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.78016
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.5605
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.822855
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.115337
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.435087
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.783312
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.167221
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.595004
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.066064
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.603502
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.20238
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.87367
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.63801
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.52124
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.51729
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.65587
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.00047
±(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.50106
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.46014
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.78748
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.563921
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.825591
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.118209
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.437712
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.785586
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.169636
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.596345
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.066582
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.6048
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.20193
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.872
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.63605
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.51976
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.51602
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.65259
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.99144
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.49532
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.43962
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.79322
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.567181
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.828228
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.12089
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.440207
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.787631
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.171898
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.597404
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.067087
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.605839
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.2011
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86991
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.63554
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.51786
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.51437
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.64883
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.98177
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.5395
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.40264
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.7317
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.77996
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.57028
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.830763
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.123374
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.442568
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.789439
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.174002
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.598178
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.06845
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.60661
Ã(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.19989
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86738
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.63464
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.51553
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.51232
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.64457
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.97519
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.54321
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.36474
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.66962
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.26571
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.573215
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.8332
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.125665
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.444795
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.791013
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.175948
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.59867
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.069583
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.607122
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.19829
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86515
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.63338
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.51279
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.50988
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.63983
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.96918
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.54653
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.35836
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.60698
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.67091
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.37929
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.575987
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.835534
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.127759
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.446887
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.792354
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.177734
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.59888
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.070481
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.607368
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.19631
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86459
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.63174
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.50962
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.50704
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.6346
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.96267
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.54946
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.36995
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.54381
×(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.2152
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.78473
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.4921
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.578593
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.837766
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.129656
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.448843
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.793457
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.179361
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.598805
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.071143
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.606962
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.19394
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86369
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.62973
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.50603
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.50381
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.62888
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.95564
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.55202
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.38134
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.31617
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.77919
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.32671
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.90482
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.60504
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.581035
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.839895
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.131356
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.450665
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.794326
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.180832
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.598447
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.07157
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.605455
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.19118
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86247
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.62735
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.50203
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.50018
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.62269
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.95501
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.5542
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.39245
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.03402
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.67846
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.0522
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.44442
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.03154
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.7192
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.583311
Ú(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.841924
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.132861
(423.03, 14.86, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.452353
