¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ü(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.247053
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.6391
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.3546
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.34589
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.264715
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.444977
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.638892
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.845782
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.073318
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.320267
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.589177
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.892132
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.271924
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.663798
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.098248
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.598708
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.863031
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61555
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51665
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.6795
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.38261
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.71069
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.40213
÷(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.37301
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.271162
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.451903
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.646351
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.854224
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.082466
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.330212
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.600023
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.903103
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.277166
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.666638
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.101428
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.264667
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.895117
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64166
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57019
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88423
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.83858
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.77979
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.44535
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.38771
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.277633
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.458858
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.653843
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.862697
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.091649
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.340196
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.610916
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.913962
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.279652
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.669402
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.750492
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.292724
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.927235
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66754
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62339
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91484
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.55804
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.8463
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.48575
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.37805
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.96446
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.284131
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.46584
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.661366
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.871203
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.100867
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.35022
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.621853
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.924706
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.359313
Ü(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.294688
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.772017
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.320787
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.959327
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69352
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67624
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.94109
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01958
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.91014
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.50601
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.36806
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.92381
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.290653
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.472849
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.668916
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.879738
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.110121
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.360282
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.632834
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.499167
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.884909
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.313864
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.793502
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.34882
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.991425
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73062
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70994
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96658
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.09943
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.03201
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.51682
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.35774
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.88234
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.297198
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.479882
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.676496
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.888302
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.119405
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.37038
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.164417
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.514647
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.902119
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.333002
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.815033
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.376829
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0235
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7677
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73003
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99123
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.19443
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.49821
Å(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.52525
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.3471
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.84148
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.303766
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.486943
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.684103
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.896894
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.128721
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.863914
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.178442
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.530123
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.919263
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.352165
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.836473
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.404789
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05554
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79998
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74946
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0151
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.26635
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.99319
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.5313
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.33614
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.80123
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.310355
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.494027
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.691737
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.905512
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.598681
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.878963
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.1946
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.545549
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.936402
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.371268
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.858932
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.432713
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08754
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82623
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76822
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03816
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.31954
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.55072
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.53495
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.31904
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.76159
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.316966
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.501134
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.699397
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.35938
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.6096
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.894027
ç(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.211134
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.560999
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.953531
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.390399
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.883455
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.460569
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11448
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85241
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80882
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06447
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3704
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.13469
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.53622
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.30071
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.72256
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.323596
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.508262
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.137659
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.369492
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.620576
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.909115
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.227726
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.578301
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.970613
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.409445
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.90793
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.488412
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13703
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88142
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85151
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12679
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.41899
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.32728
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.53508
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.28222
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.68414
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.330245
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.931665
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.14705
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.379643
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.632134
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.924153
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.244276
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.5966
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.987634
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.428493
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.932325
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.511167
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15947
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91709
