¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
õ(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.060385
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16823
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2677
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07946
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.55026
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.45592
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.24462
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.72132
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.88785
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.353231
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.540954
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.743209
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.420647
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.693659
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.99387
ä(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.323459
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.686831
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.089405
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.550426
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.076219
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.671555
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33457
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18627
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28607
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11776
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.60332
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.66248
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.2562
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.69108
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.83772
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.360283
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.548542
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.183738
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.433547
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.705473
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.006825
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.337698
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.702562
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.106883
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.572675
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.101356
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.691825
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36527
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22343
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30369
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.15411
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.6508
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.18765
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.26656
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.66129
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.7907
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.367345
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.972568
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.195612
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.446448
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.719513
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.01973
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.351909
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.718271
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.124337
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.594852
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.12533
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.711972
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39666
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26033
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32052
æ(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1885
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.67181
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.8845
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.27571
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.63194
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.74846
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.778233
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.981459
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.207433
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.459312
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.733557
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.033217
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.366059
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.733922
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.142603
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.616921
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.142962
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.73199
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42783
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29697
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35885
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22087
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.69096
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.21754
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.28361
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.60267
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.70738
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.786526
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.990374
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.219276
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.47219
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.747614
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.048584
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.380168
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.749564
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.162179
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.637925
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.160487
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.751897
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45869
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33331
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4015
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25111
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.70819
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.21053
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.59019
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.57308
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.6675
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.794809
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.999299
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.231087
õ(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.485032
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.761603
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.063962
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.395721
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.765104
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.181649
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.653337
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.177899
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.771677
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48931
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3694
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45899
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27932
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.72351
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.20238
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.44075
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.54398
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.62878
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.803113
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.008249
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.242885
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.497871
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.775639
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.079283
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.41263
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.780614
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.20031
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.668651
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.195128
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.791304
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51968
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40405
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51564
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3054
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.73691
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.19301
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.44947
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.64455
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.59123
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.811468
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.01889
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.254686
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.510677
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.789617
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.094627
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.429462
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.79872
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.213875
(335.21, 7.15, 312.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.683817
