°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ù (430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.688507
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.655872
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.662301
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.669299
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.676875
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.685034
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.693781
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.703123
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.713069
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.723626
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.734802
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.746606
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.759048
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.658482
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.649404
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.644852
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.642004
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.639704
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.63795
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.63674
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.636073
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.63595
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.636369
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.637331
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.638836
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.640887
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.643484
° (430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.646629
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.650325
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.654575
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.659381
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.664749
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.67068
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.67718
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.684255
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.691909
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.700148
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.708978
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.718407
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.728443
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.739092
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.750363
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.762266
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.774811
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.672334
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.663248
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.659399
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.656588
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.654326
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.652612
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.651444
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.650822
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.650745
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.651212
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.652225
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.653785
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.655891
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.658546
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.661753
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.665512
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.669827
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.674702
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.680139
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.686144
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.692721
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.699874
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.707609
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.715933
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.724851
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.734372
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.744501
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.755247
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.766619
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.778626
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.791277
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.686817
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.677895
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.674568
° (430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.671795
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.669574
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.667902
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.666779
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.666204
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.666176
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.666695
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.667762
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.669377
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.671542
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.674259
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.677528
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.681354
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.685738
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.690684
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.696196
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.702277
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.708934
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.71617
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.723992
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.732404
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.741414
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.751029
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.761257
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.772105
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.783581
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.795697
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.808461
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.701941
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.693662
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.690373
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.68764
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.685461
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.683834
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.682758
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.682232
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.682255
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.682828
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.683952
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.685626
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.687853
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.690633
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.693969
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.697864
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.702321
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.707342
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.712932
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.719094
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.725834
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.733157
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.741068
û (430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.749573
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.75868
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.768395
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.778726
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.78968
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.801268
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.813497
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.826378
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.717719
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.710073
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.706824
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.704133
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.701999
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.700418
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.699391
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.698917
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.698995
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.699625
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.700807
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.702543
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.704834
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.707682
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.711089
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.715057
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.719589
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.724688
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.73036
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.736607
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.743435
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.750848
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.758853
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.767457
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.776664
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.786483
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.796921
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.807988
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.81969
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.832039
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.845044
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.734163
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.727142
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.723935
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.721289
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.719201
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.71767
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.716695
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.716275
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.716409
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.717099
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.718344
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.720145
õ (430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.722504
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.725422
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.728902
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.732946
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.737557
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.742739
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.748496
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.754832
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.761751
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.76926
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.777364
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.786068
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.795382
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.80531
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.815861
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.827045
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.838868
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.851342
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.864475
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.751288
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.744883
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.74172
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.73912
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.737082
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.735603
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.734682
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.734319
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.734514
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.735265
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.736575
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.738445
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.740875
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.743867
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.747423
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.751547
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.756241
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.76151
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.767356
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.773784
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.7808
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.788409
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.796615
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.805427
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.81485
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.824893
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.835562
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.846867
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.858817
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.871421
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.884689
(430.58, 12.48, 341.67) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.769107
