¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ä(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.53592
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08967
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8445
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55983
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.30105
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.97781
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56923
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99353
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.44414
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.92345
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.37263
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.84567
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.24217
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.59384
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.96221
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.34846
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.80827
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.115853
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.302224
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.502732
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.720008
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.953381
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.634832
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.91924
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.226899
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.560797
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.924322
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.321524
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.757255
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23733
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76878
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36023
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0223
è(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76836
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.51075
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21218
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88012
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.58733
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.01267
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.46437
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.91777
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.36341
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.83593
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.30083
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.65484
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.02568
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.4145
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.47758
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.097137
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.283833
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.481442
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.697185
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.928852
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.608208
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.891136
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.196498
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.527735
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.888268
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.282101
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.713937
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18954
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71579
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30114
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95604
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69347
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46273
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12542
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.78496
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.51149
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.0337
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.48666
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.9112
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.35646
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.82859
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.32991
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.71892
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.09237
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.95438
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.078627
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.264089
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.460391
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.67462
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.904609
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.578829
õ(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.859466
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.162972
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.492188
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.850439
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.241689
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.670657
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14248
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66362
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.243
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89083
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61984
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41574
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0408
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69212
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.40925
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.0567
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.48637
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.90676
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.35181
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.82366
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.3247
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.78622
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.46309
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.64052
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.060328
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.244572
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.439949
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.652317
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.291564
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.54976
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.828108
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.129034
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.455351
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.810345
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.197823
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.622504
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08988
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60736
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18576
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82666
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5475
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36399
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95995
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.60166
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30963
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.08164
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.48421
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.90451
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.3512
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.8272
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.33281
†(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.90894
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.03737
(421.96, 8.79, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.31243
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.757127
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.134644
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.5477
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.990833
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38244
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79476
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24291
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73173
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.35974
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.83064
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.83598
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.791258
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.171967
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.588603
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00852
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39426
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80759
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25687
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74701
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.4383
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.97024
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.02114
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.825363
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.209261
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.612885
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01352
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40613
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82047
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27094
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76236
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.51678
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.09455
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.22993
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.859456
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.239012
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.625857
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01851
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41167
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83348
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28509
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77781
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.63197
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.2185
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.40315
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.893544
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.250752
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.638641
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02354
‰(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41712
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84453
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29933
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79338
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.80112
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.34213
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.50626
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.904798
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.262318
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.651252
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02854
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42252
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85047
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31363
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.98918
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.97206
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.47413
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.65128
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.915271
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.273718
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.663689
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03356
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42801
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85637
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32325
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.28248
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.14488
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.59071
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.86093
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.925653
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.284959
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.673919
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0386
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43346
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86231
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32975
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.81487
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.31955
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.77062
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.935819
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.296052
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.678603
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04364
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43894
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86826
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33842
(422.13, 8.81, 364.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.18393
