¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
“ (432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.650189
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.889311
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.147547
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.400289
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.372728
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.369387
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.37321
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.378139
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.401819
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.439414
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.478515
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.546328
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.631576
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.749537
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.929387
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.4998
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.3662
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.25023
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.22631
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.20596
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.24072
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.30122
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.39893
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.55511
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.77592
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.09499
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.421941
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.645134
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.888421
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.146541
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.395701
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.368156
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.3659
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.369709
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.37462
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.39937
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.436934
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.476002
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.545244
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.630465
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.751284
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.931219
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.78953
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.61189
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.49079
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.44748
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.42654
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.45103
Œ (432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.51427
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.60691
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.76961
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.99089
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.32313
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.419328
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.643482
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.887511
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.14558
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.392222
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.364693
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.363424
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.36722
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.372122
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.397861
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.435406
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.474453
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.545039
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.630256
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.753779
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.933835
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.09794
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.87135
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.74473
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.68006
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.6585
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.67168
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.73788
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.82488
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.99457
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.21615
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.56246
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.41672
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.641795
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.886627
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.14461
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.389851
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.362329
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.361957
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.365746
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.37064
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.397293
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.434829
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.47387
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.545715
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.630948
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.757023
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.943696
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.42681
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.14573
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.01313
‹ (432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.92491
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.90269
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.90344
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.97281
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.05353
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.23071
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.45238
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.81379
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.414124
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.640113
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.885739
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.14363
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.388584
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.361066
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.361494
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.365283
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.370175
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.397663
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.435205
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.47425
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.547268
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.632541
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.761019
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.958519
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.77819
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.44383
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.29719
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.18298
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.16006
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.14709
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.21987
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.2953
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.47883
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.70037
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.07799
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.41156
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.6384
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.883946
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.142682
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.38842
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.360904
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.362041
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.365832
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.370727
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.398972
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.43653
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.475593
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.549704
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.635038
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.765768
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.973417
ğ(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.20389
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.79928
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.59826
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.45744
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.43161
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.40974
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.47997
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.5592
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.73981
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.96096
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.35599
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.40907
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.636666
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.882073
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.141724
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.420697
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.723556
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.032388
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.359783
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.716336
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.071747
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.496981
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06676
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65563
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93157
(432.55, 15.14, 247.57) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 11.12669
(432.55, 15.14, 247.57) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 11.11435
(432.55, 15.14, 247.57) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 11.10369
(432.55, 15.14, 247.57) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 11.0947
(432.55, 15.14, 247.57) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 11.08739
(432.55, 15.14, 247.57) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 11.08173
(432.55, 15.14, 247.57) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 11.07774
(432.55, 15.14, 247.57) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 11.0754
(432.55, 15.14, 247.57) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 11.07471
(432.55, 15.14, 247.57) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 11.07568
(432.55, 15.14, 247.57) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 11.0783
(432.55, 15.14, 247.57) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 11.08258
(432.55, 15.14, 247.57) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 11.08851
(432.55, 15.14, 247.57) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 11.09611
(432.55, 15.14, 247.57) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 11.10538
(432.55, 15.14, 247.57) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 11.11633
(432.55, 15.14, 247.57) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 11.12896
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.407422
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.634924
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.880177
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.140798
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.419698
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.722435
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.028416
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.355422
