¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ú(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.40528
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.30843
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.31968
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.595554
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.851445
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.129081
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.43136
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.76161
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.122663
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.530614
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.009415
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.546667
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15366
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82132
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33144
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84194
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40258
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02098
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18254
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.12159
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 16.46905
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.3679
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.34998
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.33424
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.32067
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.30927
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.30001
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.2929
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.37194
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.582524
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.837672
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.114532
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.415853
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.745087
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.106178
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.530357
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.016485
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.562901
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1814
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87358
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34276
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85433
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41619
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03602
Î(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01064
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.9631
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 16.29828
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 18.21221
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.33657
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.32085
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.30729
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.29589
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.28664
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.29384
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.569322
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.82335
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.098937
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.398879
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.726487
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.084112
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.490786
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.972151
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.512886
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12457
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81673
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34314
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85536
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41795
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03866
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94619
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.84629
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 16.19424
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 18.08218
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.32532
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.3096
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.29605
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.28466
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.28393
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.58016
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.55606
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.808994
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.08333
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.381846
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.707856
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.061713
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.451317
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.927952
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.463039
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06797
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7473
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34216
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85428
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4168
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03735
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.93191
Ï(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82782
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 16.09101
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 17.95337
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.65585
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 14.91615
(416.01, 14.54, 246.23) (391.08, 8.64, 236.07) (3.53, 3.50, 3.13) Truck 15.12833
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.41362
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.33993
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.32674
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.542732
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.794582
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.067695
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.364779
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.689156
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.039353
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.419477
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.883871
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.41338
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01159
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67846
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34155
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85361
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41604
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03655
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94805
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 15.70842
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 15.98862
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 17.82578
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.14333
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.57233
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.53494
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.50102
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.47055
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.44352
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.41989
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.39965
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.38278
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.36927
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.43052
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.42582
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.529437
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.780157
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.051995
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.347681
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.670462
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.016981
(416.01, 14.54, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.394892
