¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ó(334.62, 7.47, 359.45) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.60957
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.38052
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.64919
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.03351
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.15996
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.15611
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.53409
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.5111
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.49151
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.47531
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.46247
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.45301
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.4469
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.44414
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.44473
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.934337
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.131791
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.343815
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.578088
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.836119
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.116327
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.446765
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.813492
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.201531
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.617167
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.100649
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.628964
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.16843
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.76936
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.46613
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.25576
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.22083
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.38012
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.65127
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.04909
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.19421
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.14458
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.49015
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.4672
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.44766
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.43149
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.41869
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.40925
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.40315
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.40041
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.401
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.93405
£(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.131484
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.343483
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.57735
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.835321
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.115457
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.447072
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.813829
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.20269
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.61845
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.103032
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.632857
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.1726
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.77406
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.47099
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.26061
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.22295
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.37932
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.6539
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.06559
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.22844
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.13337
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.44972
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.42682
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.40732
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.39118
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.37841
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.36899
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.36291
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.36017
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.36077
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.933795
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.131211
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.343192
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.576617
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.834525
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.114593
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.447289
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.814069
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.203834
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.620441
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.105332
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.636825
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.17688
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.77886
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.4759
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.26558
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.22512
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.37595
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.6571
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.08548
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.26262
Ş(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.12242
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.41278
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.38993
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.37045
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.35435
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.3416
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.3322
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.32614
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.32341
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.32401
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.933576
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.130974
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.342937
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.575888
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.833735
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.114529
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.44742
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.814214
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.204965
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.622424
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.10755
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.640869
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.18125
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.78378
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.48087
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.27065
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.22735
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.37258
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.66086
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.12797
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.29677
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.11181
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.3793
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.35648
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.33704
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.32097
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.30824
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.29886
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.29281
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.29009
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.29069
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.933388
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.130774
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.342721
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.575162
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.832948
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.114564
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.447458
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.814258
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.206079
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.624331
Ø(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.109683
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.644988
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.18571
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.7888
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.48589
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.27582
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.22963
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.36921
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.66517
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.17051
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.33086
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.10149
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.34925
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.32647
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.30706
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.29101
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.2783
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.26894
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.2629
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.26018
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.26079
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.933236
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.13061
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.342546
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.574441
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.832165
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.114523
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.447412
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.814205
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.207183
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.626166
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.111736
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.649182
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.19027
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.79392
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.49065
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.28111
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.23196
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.36585
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.67005
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.21309
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.54923
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.09146
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.32261
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.29986
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.28047
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.26445
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.25176
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.2424
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.23638
(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.23367
ª(334.62, 7.47, 359.45) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 22.23428
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.933117
(334.62, 7.47, 359.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.130482
