¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ˆ(385.91, 13.84, 254.52) (417.67, 7.69, 236.60) (2.02, 1.40, 1.75) Tools 20.85847
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.217107
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.438931
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.674521
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.933638
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.214808
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.51879
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.853872
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.221495
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.200243
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.663894
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17768
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75846
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44794
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.21894
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05403
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02473
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.2017
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.50033
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.53678
(385.91, 13.84, 254.52) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 18.44308
(385.91, 13.84, 254.52) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 18.4249
(385.91, 13.84, 254.52) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 18.40951
(385.91, 13.84, 254.52) (417.67, 7.69, 236.60) (2.02, 1.40, 1.75) Tools 19.18329
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.72261
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.13457
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.61418
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.012881
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.21921
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.441195
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.677259
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.936605
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.218032
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.522661
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.85811
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.226155
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.206147
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.672791
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18755
š(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77188
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46319
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23315
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07034
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03881
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.21827
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.40634
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.43051
(385.91, 13.84, 254.52) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 18.60989
(385.91, 13.84, 254.52) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 18.59263
(385.91, 13.84, 254.52) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 18.57817
(385.91, 13.84, 254.52) (417.67, 7.69, 236.60) (2.02, 1.40, 1.75) Tools 19.58139
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.03283
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.45592
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.014852
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.221326
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.443476
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.680011
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.939588
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.221274
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.526957
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.862366
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.778006
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.212085
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.681745
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19753
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78538
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47851
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24753
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08676
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05297
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23495
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.3165
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.32652
(385.91, 13.84, 254.52) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 18.81104
(385.91, 13.84, 254.52) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 18.79365
(385.91, 13.84, 254.52) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 18.77909
(385.91, 13.84, 254.52) (417.67, 7.69, 236.60) (2.02, 1.40, 1.75) Tools 19.9994
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.35464
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.016834
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.223456
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.445771
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.68354
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.942586
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.224533
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.531521
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.866642
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.783381
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.218023
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.690788
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20758
 (385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79886
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49381
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26205
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10334
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07086
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.25169
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.23454
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.22477
(385.91, 13.84, 254.52) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 19.01945
(385.91, 13.84, 254.52) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 19.00192
(385.91, 13.84, 254.52) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 18.98726
(385.91, 13.84, 254.52) (418.15, 7.58, 234.73) (2.02, 1.13, 1.82) Tools 22.13056
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.018828
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.225598
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.448077
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.687193
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.945597
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.227808
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.535092
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.394004
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.788794
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.223999
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.699888
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21771
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81234
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50914
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27665
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12011
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.09023
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.25751
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.15438
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.12524
(385.91, 13.84, 254.52) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 19.23542
(385.91, 13.84, 254.52) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 19.21776
(385.91, 13.84, 254.52) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 19.20299
(385.91, 13.84, 254.52) (418.15, 7.58, 234.73) (2.02, 1.13, 1.82) Tools 22.19407
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.020832
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.227753
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.450399
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.69059
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.948625
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.231098
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.538682
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.39895
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.794235
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.22999
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.709071
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22796
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82584
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52446
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29142
»(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13698
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10975
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.18488
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.07592
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.02785
(385.91, 13.84, 254.52) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 19.13327
(385.91, 13.84, 254.52) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 19.11418
(385.91, 13.84, 254.52) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 17.43608
(385.91, 13.84, 254.52) (418.15, 7.58, 234.73) (2.02, 1.13, 1.82) Tools 21.77922
(385.91, 13.84, 254.52) (417.93, 7.73, 233.24) (1.84, 1.40, 1.35) Tools 22.53561
(385.91, 13.84, 254.52) (417.93, 9.12, 233.24) (1.84, 1.40, 1.35) Tools 22.51718
(385.91, 13.84, 254.52) (417.93, 9.12, 233.24) (1.84, 1.40, 1.35) Tools 22.51057
(385.91, 13.84, 254.52) (417.93, 9.12, 233.24) (1.84, 1.40, 1.35) Tools 22.50731
(385.91, 13.84, 254.52) (417.93, 9.12, 233.24) (1.84, 1.40, 1.35) Tools 22.50741
(385.91, 13.84, 254.52) (417.93, 9.12, 233.24) (1.84, 1.40, 1.35) Tools 22.52972
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.022847
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.229919
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.452731
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.693112
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.951667
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.234404
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.542286
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.40391
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.799663
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.236027
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.718372
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23827
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83934
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5398
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30631
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15403
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12946
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.11371
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99921
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.93317
(385.91, 13.84, 254.52) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 17.5229
(385.91, 13.84, 254.52) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 17.50714
(385.91, 13.84, 254.52) (415.48, 7.58, 236.25) (1.97, 1.13, 1.76) Tools 17.49402
(385.91, 13.84, 254.52) (418.15, 7.58, 234.73) (2.02, 1.13, 1.82) Tools 21.43988
(385.91, 13.84, 254.52) (417.93, 7.73, 233.24) (1.84, 1.40, 1.35) Tools 22.68969
(385.91, 13.84, 254.52) (417.93, 9.12, 233.24) (1.84, 1.40, 1.35) Tools 22.54276
(385.91, 13.84, 254.52) (417.93, 9.12, 233.24) (1.84, 1.40, 1.35) Tools 22.57314
(385.91, 13.84, 254.52) (417.93, 9.12, 233.24) (1.84, 1.40, 1.35) Tools 22.60698
(385.91, 13.84, 254.52) (417.93, 9.12, 233.24) (1.84, 1.40, 1.35) Tools 22.64431
(385.91, 13.84, 254.52) (417.93, 9.12, 233.24) (1.84, 1.40, 1.35) Tools 22.68515
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.024876
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.232099
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.455079
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.695646
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.954723
