¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¨(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.58634
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.881628
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.498123
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04355
£(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07192
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.29471
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.95568
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.33346
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.65105
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.52891
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 20.03409
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 20.016
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 20.00091
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 20.00665
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 20.07458
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 20.14598
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 20.22094
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 20.29949
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 20.86941
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.02781
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.19181
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.36161
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.53739
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 22.31708
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.150812
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.367729
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.601515
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.854199
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.128081
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04805
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07724
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.30104
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.40644
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.34096
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.66518
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.53563
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 20.69458
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 20.67682
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 20.66217
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 20.69298
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 20.76697
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 20.8446
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 20.92595
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.103
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.12192
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.28446
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.45275
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.63102
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 22.0067
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 22.39906
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.129189
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.344463
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.576395
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.826987
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.09856
¦(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.600863
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08083
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.30532
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.79709
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.34522
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.67483
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.53763
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.40335
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.38602
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.33383
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.34592
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.38961
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.452
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.51797
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.48787
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.38364
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.55054
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.85485
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 22.23548
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 22.63304
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.107695
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.321311
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.551423
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.800003
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.069269
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.361852
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08258
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.30745
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.81428
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.58313
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.67998
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.53491
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 22.18137
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.8501
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.74874
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.74225
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.76105
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.79829
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.83892
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.88297
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.71888
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 22.08867
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 22.47469
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 23.4187
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.086336
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.298324
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.526655
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.773184
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.040189
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.330248
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.691676
¢(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.30948
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.8288
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.09901
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.6788
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.52747
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 23.28053
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 22.81186
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 22.5531
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 22.54776
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 22.56265
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 22.58844
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 22.63188
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 22.68032
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 22.73236
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 22.84985
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 23.27494
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 23.7846
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 24.71914
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.065102
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.275524
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.502043
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.746608
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.011343
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.298858
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.611717
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.31911
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.84059
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.74506
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.67229
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.51533
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 23.86178
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 23.42278
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 23.4188
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 23.4353
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 23.46464
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 23.49756
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 23.54149
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 23.6088
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 23.87657
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 24.31803
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 24.7831
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.044067
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.252882
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.477671
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.720223
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.98276
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.267773
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.565972
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.31332
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.84968
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.73825
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.67221
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.49851
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 24.82725
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 24.39332
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 24.39962
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 24.41524
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 24.45238
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 24.4933
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 24.60786
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.023159
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.230416
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.453462
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.694068
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.954434
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.231766
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.520823
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.30194
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.85603
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.74622
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.27303
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.47703
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.002387
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.208108
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.429425
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.668129
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.926298
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.190718
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.476256
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.786681
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.85959
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.75075
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.14417
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.45092
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.981801
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.185969
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.405581
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.642388
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.889662
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.150198
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.432324
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.738852
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.86045
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.75182
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.09365
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.42022
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.961361
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.164024
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.381953
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.61412
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.852682
