°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ˆ(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.34756
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.259238
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.586922
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.976922
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.386423
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.841636
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.304162
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.811771
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.42435
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.97368
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.72986
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.8126
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.32518
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.74971
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.46924
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.47529
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.45144
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.43024
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.41169
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.39577
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.38248
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.3718
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.36372
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.35824
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.35535
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.596257
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.77962
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.976325
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.19303
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.429411
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.682258
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.956888
€(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.256186
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.584937
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.972182
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.381169
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.83578
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.292965
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.808671
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.42084
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.96076
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.74152
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.81855
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30307
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.72325
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.43706
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.33558
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.31195
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.29097
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.27261
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.25686
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.24372
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.23317
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.22519
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.2198
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.21697
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.594741
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.777994
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.97458
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.192221
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.427083
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.679733
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.954142
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.25319
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.58369
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.96748
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.375957
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.829971
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.282044
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.80568
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.41746
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.9493
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.75333
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.82463
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.28126
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.69717
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.40528
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.20063
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.17723
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.15645
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.13827
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.12269
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.10969
 (330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.09926
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.09138
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.08607
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.08331
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.593266
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.776414
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.972884
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.191422
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.424791
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.677251
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.951441
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.250242
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.582407
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.962813
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.370784
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.824207
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.271403
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.802795
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.40882
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.95964
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.76528
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.83082
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.2597
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.67142
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.37397
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.0703
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.04712
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.02653
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.00854
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.99311
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.98025
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.96993
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.96216
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.95692
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.95422
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.591836
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.774882
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.971238
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.189538
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.422543
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.674812
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.94879
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.247347
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.581091
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.958185
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.365654
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.818491
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.261042
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.80002
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.39852
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.97011
ˆ(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.78503
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.83713
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23843
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.646
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.34304
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.94444
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.92147
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.90108
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.88325
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.86798
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.85524
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.84504
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.83736
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.8322
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.82956
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.590447
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.773395
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.969642
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.187495
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.420332
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.672416
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.946183
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.244503
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.579743
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.953594
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.360569
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.812825
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.255668
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.797352
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.38868
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.9807
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.80933
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.84355
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.21749
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.62097
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.3126
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.82293
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.80016
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.77995
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.76228
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.74716
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.73455
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.72445
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.71687
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.71178
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.70919
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.589103
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.771955
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.968096
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.185488
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.418165
‘(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.670065
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.943625
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.241713
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.578366
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.949046
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.355526
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.807207
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.25339
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.794796
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.3793
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.99141
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.83345
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.85009
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.19679
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.59624
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.28257
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.70563
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.68305
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.66301
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.64551
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.63052
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.61803
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.60804
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.60054
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.59552
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.59298
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.587803
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.770563
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.966601
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.183518
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.416036
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.667758
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.941117
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.238975
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.576953
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.944534
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.350529
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.801639
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.251211
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.792348
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37037
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.00223
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.85739
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.85674
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.17641
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.57188
(330.49, 7.53, 366.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.25299
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.59242
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.57003
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.55016
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.5328
÷(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.51795
(330.49, 7.53, 366.81) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.50558
