¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ö(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.735106
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.270719
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.993311
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.28637
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.88835
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.6179
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.15086
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.32986
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.31871
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.31061
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.30555
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.30351
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.30451
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.31385
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.664176
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.880432
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.896323
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.86981
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.844518
ÿ(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.820426
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.797514
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.775764
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.755157
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.735678
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.717311
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.70004
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.683854
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.668738
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.65468
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.641673
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.629703
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.684697
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.289588
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 8.016157
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.81116
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.77006
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.44919
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.97101
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.52976
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.23227
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.2242
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.21915
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.21712
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.21811
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.2274
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.662696
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.871969
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.844414
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.818092
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.792982
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.769062
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.746314
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.724719
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.704258
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.684917
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.66668
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.64953
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.633458
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.618448
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.60449
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.591571
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.579684
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.70065
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.308595
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 8.039182
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.65222
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.26182
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.28799
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79697
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.34398
ÿ(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.14955
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.14151
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.13648
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.13445
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.13543
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.14468
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.661322
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.867567
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.833828
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.801429
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.770342
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.74054
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.711996
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.684685
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.658587
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.635896
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.617784
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.600753
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.58479
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.569882
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.556017
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.543187
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.531379
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.71671
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.327737
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 8.062386
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59819
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.82014
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.74327
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.6397
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.16424
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.7384
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.06248
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.05746
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.05544
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.0564
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.06561
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.659969
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.875968
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.979906
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.946707
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.914851
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.884306
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.855051
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.827056
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.800302
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.774762
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.750419
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.727248
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.705235
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.68436
î(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.664606
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.645957
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.628399
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.732876
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.347015
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33473
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.54642
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.7667
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23866
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.50438
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.01142
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.55332
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.98703
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.98203
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.98001
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.98097
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.99014
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.658716
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.874584
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.106062
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.099429
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.066757
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.035431
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.005421
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.976703
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.949254
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.923049
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.898066
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.874286
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.851687
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.830254
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.809967
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.790811
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.772769
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.755831
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.366427
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.28666
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49687
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71562
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.94329
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.72221
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.87204
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.40488
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.97521
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.91012
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.90811
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.90906
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.9182
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.657471
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.873276
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.104664
ø(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.260146
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.226612
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.194457
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.16365
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.134165
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.10598
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.079068
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.05341
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.02898
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.005763
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.983736
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.962883
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.943188
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.924636
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.90721
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.385971
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24075
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.44955
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.66677
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.89289
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.22123
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.73707
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.26118
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.82191
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.84168
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.83967
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.84062
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.84971
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.656305
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.87203
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.103313
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.351843
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.395013
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.361977
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.330325
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.300028
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.271062
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.243402
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.217024
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.191906
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.16803
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.145375
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.123922
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.103655
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.084557
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.066614
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.405646
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.19693
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40436
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.62015
