¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ƒ(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.653321
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.440799
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.820089
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19624
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60964
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11645
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67594
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36905
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.80219
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.67115
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.90129
(395.71, 12.26, 328.13) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 23.54853
(395.71, 12.26, 328.13) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 23.61305
(395.71, 12.26, 328.13) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 23.68147
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.305716
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.479869
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.649614
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.824087
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.010606
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.210424
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.426557
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.074596
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.330566
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.60561
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.885462
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.153669
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.442089
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.752994
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.089085
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.43939
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.815802
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19165
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59903
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0999
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65766
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33793
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.9672
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.51905
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.7033
(395.71, 12.26, 328.13) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 23.33124
(395.71, 12.26, 328.13) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 23.39448
‰(395.71, 12.26, 328.13) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 23.46157
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.309283
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.478428
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.653167
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.827879
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.01466
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.214768
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.429644
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.073894
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.329844
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.606126
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.883191
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.151245
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.439442
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.750181
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.08604
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.438641
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.812319
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18786
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59493
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08429
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6404
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30787
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.11946
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.3709
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.52748
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.06626
(395.71, 12.26, 328.13) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 23.18331
(395.71, 12.26, 328.13) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 23.24913
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.312948
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.477018
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.656858
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.831817
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.018871
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.219281
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.434491
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.072485
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.329339
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.605609
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.881335
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.149241
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.437325
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.747851
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.083539
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.438493
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.809587
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18492
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59172
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06957
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62416
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28827
”(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13015
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.31154
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.35605
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.83205
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.316709
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.477103
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.660688
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.835904
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.023241
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.223965
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.830862
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.069963
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.327564
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.605322
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.879888
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.147724
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.435679
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.746094
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.081602
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.439024
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.807591
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18276
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58941
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0558
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60893
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27311
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09818
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.41711
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.18876
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.60398
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.61791
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.846254
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.05712
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.282508
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.523929
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.783107
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.062025
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.362974
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.749884
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.182327
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.661191
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19439
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.619189
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.849084
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.060141
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.285737
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.527389
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.78682
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.06603
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.367269
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.729833
º(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.160176
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.636639
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1699
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.620437
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.852035
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.063313
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.289095
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.531019
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.790718
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.070227
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.371803
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.709912
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.139714
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.616656
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14768
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.621664
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.855144
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.066607
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.292667
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.53481
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.794791
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.074591
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.371682
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.690369
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.121881
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.596807
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12557
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.621573
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.858363
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.070028
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.296317
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.538744
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.794687
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.066549
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.359362
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.67557
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.104108
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.577114
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10354
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.620199
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.861736
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.073661
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.296457
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.531915
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.784268
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.055356
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.347306
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.662554
(396.16, 12.22, 328.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.086409
