¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‡(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.644738
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.51412
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.866149
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.242163
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.652757
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.1031
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.59919
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.14826
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.75918
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.4429
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.21313
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.08724
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.90191
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.12022
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.54372
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.14397
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.94492
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.79199
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.094613
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.264064
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.443355
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.636158
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.844027
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.028067
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.240273
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.468965
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.716098
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.975373
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.255254
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.559711
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.894453
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.21215
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.543344
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.895749
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.27423
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.687803
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.14157
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.6416
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.19525
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.81153
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.5016
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.2794
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.16265
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99318
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.2261
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.66801
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.21741
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.97836
(357.65, 9.91, 321.11) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 20.5167
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.108778
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.278507
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.458864
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.652855
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.86205
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.047602
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.261283
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.491623
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.740601
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.00106
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.283129
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.590063
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.927102
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.239736
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.573274
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.926015
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.307146
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.723793
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.18108
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.68518
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.24356
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.86539
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.562
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.34764
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.24036
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.08728
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.33538
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.79646
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.24311
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.08214
(357.65, 9.91, 321.11) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 20.50883
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.123035
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.293067
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.474503
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.669696
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.880173
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.067408
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.28259
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.514607
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.765467
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.027165
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.311467
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.620928
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.958009
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.26797
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.603914
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.957015
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.340922
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.760734
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.22165
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72994
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.29321
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.92075
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.62415
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.41788
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.3204
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.18432
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.44814
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.92917
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.34273
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.19015
(357.65, 9.91, 321.11) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 20.50403
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.13738
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.307745
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.490272
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.68668
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.896127
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.087486
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.304199
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.537923
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.79035
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.053691
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.340269
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.652312
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.984901
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.296864
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.633731
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.988806
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.375569
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.798642
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.2633
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.77592
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.34421
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.97767
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.68807
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.49018
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.40285
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.28434
Š(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.56448
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.06623
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.4463
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.30256
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.18264
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.151506
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.322539
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.50617
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.703806
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.912366
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.107841
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.326108
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.561571
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.814912
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.080639
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.369544
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.68422
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.012397
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.326421
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.663866
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.021397
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.411102
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.837528
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.30605
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.82312
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.3966
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.03617
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.75379
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.56457
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.48774
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.3874
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.68452
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.20781
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.55396
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.55532
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.34186
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.16541
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.337449
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.522194
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.721074
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.928891
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.12847
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.348321
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.585551
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.839862
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.108015
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.399288
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.716656
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.040344
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.356646
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.69466
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.054795
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.447526
(357.65, 9.91, 321.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.87741
