¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
±(335.71, 7.29, 321.32) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 15.17189
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.508161
Ä(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.590389
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.675531
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.854079
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 9.138777
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.97319
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 11.17119
(335.71, 7.29, 321.32) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 13.05842
(335.71, 7.29, 321.32) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 15.00984
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.01358
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.956223
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.224658
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.515785
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.832597
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.178542
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.383162
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.361575
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.34134
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.336017
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.413408
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.493529
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.576484
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.794758
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 9.07544
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.88271
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 11.1126
(335.71, 7.29, 321.32) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 15.5437
(335.71, 7.29, 321.32) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 15.29794
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.12243
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.965524
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.234704
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.526717
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.844516
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.191631
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.266989
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.24559
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.225526
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.246238
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.321687
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.399793
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.480659
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.736826
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.70381
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.79507
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 11.05555
(335.71, 7.29, 321.32) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 15.81621
(335.71, 7.29, 321.32) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 15.60018
(335.71, 7.29, 321.32) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 14.81904
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.974735
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.244699
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.537603
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.85637
Ù(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.177711
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.155163
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.13395
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.114057
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.159286
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.232878
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.309059
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.424614
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.680251
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.62051
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.71016
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 11.00002
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.41841
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.28811
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.18651
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.17531
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.1658
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.21676
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.31007
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.983854
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.254634
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.54838
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.86813
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.069835
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.047484
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.026452
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.006723
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.075062
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.146874
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.221213
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.372696
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.625006
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.53982
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.62823
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.94596
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.37462
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.24523
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.15111
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.13993
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.13043
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.18624
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.279
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.50811
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.99294
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.264446
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.559038
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.879776
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.965916
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.943758
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.922904
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.925734
İ(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.993463
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.063574
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.13615
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.321982
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.571058
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.46164
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.57874
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.89337
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.33305
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.20452
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.11759
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.10642
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.09693
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.15742
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.24968
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.49097
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.001926
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.274198
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.569662
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.889044
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.865773
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.843804
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.823123
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.84824
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.914395
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.982876
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.053762
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.272441
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.518383
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.3859
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.53059
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.8422
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.29366
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.16595
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.0859
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.07475
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.06527
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.1303
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.22208
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.47527
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.008564
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.283834
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.580134
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.792314
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.76924
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.747455
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.726941
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.773123
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.837768
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.904687
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.995865
Ş(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.224054
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.23158
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.31254
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.48374
(335.71, 7.29, 321.32) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 15.39019
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.25641
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.12947
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.05603
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.0449
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.03543
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.10485
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.19618
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.46098
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.014025
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.289842
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.589406
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.699035
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.676155
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.654549
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.639254
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.7003
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.763498
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.828921
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.951308
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.176798
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.16181
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.24149
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.43817
(335.71, 7.29, 321.32) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 15.70767
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.22128
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.09507
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.02796
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.01683
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.00737
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.08105
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.17197
(335.71, 7.29, 321.32) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.4481
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.019405
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.295639
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.595731
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.609062
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.58637
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.564938
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.569988
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.629692
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.691502
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.75549
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.907779
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.130647
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.09423
