¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¯(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.95021
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16741
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0329
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.98192
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.03276
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.28492
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.6587
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.1034
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.08277
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.06489
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.04973
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.41148
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.38693
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.36993
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.01618
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.01453
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.908792
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.099193
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.303234
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.522416
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.758418
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.013255
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.289196
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.588888
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.915536
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.272854
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.665316
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.098274
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.578305
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11341
º(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71348
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39112
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15045
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01341
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.30401
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.24923
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.22722
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.20713
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.18898
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.17266
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.15828
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.14571
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.135
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.12609
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.11961
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.1599
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.35254
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.906541
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.096758
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.300662
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.519639
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.755432
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.01003
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.285648
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.585077
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.911378
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.268275
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.660283
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.092751
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.572162
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10649
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70573
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38181
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13381
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.34841
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.21062
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.16858
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.14778
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.12886
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.1118
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.09663
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.08328
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.07179
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.06213
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.05428
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.04873
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.08046
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.19509
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.904346
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.094406
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.29814
±(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.516932
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.752525
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.006885
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.282261
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.581355
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.907331
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.263849
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.655408
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.087305
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.566128
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09978
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69818
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36751
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11757
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.32412
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.19581
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.15535
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.13524
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.11703
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.10066
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.08614
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.07348
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.06265
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.05363
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.04645
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.04146
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.07261
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.18344
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.902192
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.09215
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.295668
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.514282
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.749673
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.003804
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.278942
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.577745
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.903368
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.259506
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.650649
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.082066
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.560294
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09326
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69085
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35351
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10157
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.42053
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.24744
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.20146
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.18202
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.16446
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.14875
²(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.13494
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.12293
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.11276
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.10448
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.09801
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.09369
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.13037
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.27927
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.900129
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.089925
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.293307
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.511726
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.746938
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.000828
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.275703
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.574222
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.899538
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.255312
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.646018
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.076954
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.554604
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0869
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6819
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33976
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08599
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93933
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.43673
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.34419
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.32633
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.31048
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.29641
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.28441
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.27418
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.26592
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.25962
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.25516
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.25268
(326.12, 7.59, 366.80) (340.51, 1.08, 391.57) (0.81, 2.16, 0.81) Human 12.33963
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.56998
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.89812
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.087754
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.290995
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.509251
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.744226
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.997914
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.272554
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.570806
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.895815
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.251249
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.641523
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.071991
º(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.549081
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08074
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66998
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32636
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07069
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92177
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90423
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.8344
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.78924
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.08758
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.78722
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.76565
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.74693
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.73104
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.71797
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.7077
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.70024
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.69557
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.6937
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.896149
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.085664
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.288742
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.506843
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.741642
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.995101
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.269494
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.567487
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.892194
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.247266
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.637155
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.067176
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.543753
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07477
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65832
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31318
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05572
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9046
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88432
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.76663
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.71238
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.93656
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.91632
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.89457
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.87569
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.85966
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.84646
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.8361
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.82855
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.82382
