¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ª(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01788
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75366
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.39473
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.0027
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.75725
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.85009
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.77282
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.76102
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.87955
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.82858
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.83266
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.81438
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.7622
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.78782
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.82931
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.87896
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.9376
ü(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.99884
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.032651
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.24333
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.470693
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.716283
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.982335
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.271465
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.10518
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.659891
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.254564
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.590794
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.95385
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34792
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22561
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74429
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69876
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33446
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.38182
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 15.97458
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.66086
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.6311
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.61829
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.72861
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.67833
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.68229
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.66354
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.6208
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.63838
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.68031
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.72899
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.78637
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.84631
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.033572
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.244485
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.471939
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.717631
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.983799
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.273058
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.588495
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.612848
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.227857
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.561985
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.922769
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35478
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1197
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6076
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.64494
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27542
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.39592
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.88476
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.53214
†(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.45417
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.42951
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.5844
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.45699
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.45836
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.46419
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.48416
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.49414
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.53647
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.58424
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.64041
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.6991
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.034489
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.245636
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.47318
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.718975
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.985255
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.274646
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.590229
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.565718
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.188753
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.533751
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.892252
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36157
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01422
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47185
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59222
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21762
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.96648
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.90314
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.4351
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.35324
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.33177
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.47559
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.373
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.3513
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.33974
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.36017
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.38514
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.44923
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.48259
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.5229
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.5698
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.035479
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.246782
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.474418
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.720313
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.986708
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.276225
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.591956
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.937568
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.134268
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.506037
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.862332
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36832
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0103
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33707
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54062
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16105
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.63771
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.92138
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.35566
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.31382
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.29858
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.43736
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.32775
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.3187
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.31139
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.30655
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.34637
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.36556
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.43299
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.47041
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.51007
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.036542
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.247925
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.475651
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.721647
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.988155
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.277802
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.593677
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.939456
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.079806
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.478852
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.833017
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37503
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01789
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20332
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.49011
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10566
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.31847
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 14.9236
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.4669
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.43439
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.41438
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 14.20304
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.49093
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.48791
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.4869
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.48792
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.49092
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.50061
õ(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.51548
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.53241
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.55141
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.037601
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.249064
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.47688
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.722975
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.989596
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.279369
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.595391
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.94245
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.025326
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.452185
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.810385
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38169
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02544
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07069
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44067
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05152
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00846
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.71345
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.64339
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.94201
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.60307
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 14.10806
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.69161
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.68869
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.68781
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.68891
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.69501
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.7058
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.71865
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.73559
(326.20, 7.18, 388.28) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.75513
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.038654
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.250198
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.478102
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.724298
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.991032
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.280932
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.597099
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.94583
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.324862
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.426065
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.816244
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38828
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0329
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93915
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39227
(326.20, 7.18, 388.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.9985
